Column1;champion;games;prescence;bans;picks;byteam;wins;losses;winrate;kills;deaths;assists;kda;cs;cspm;gold;gpm;killpart;killshare;goldshare
0;Udyr;55;1;45;10;8;5;5;50;2.9;1.4;6.8;6.93;231.3;6.83;12.4;367;0.693;0.207;0.203
1;Olaf;52;0.945;38;14;6;10;4;71.4;2.86;2.5;6;3.54;234.5;5.97;13.3;338;0.66;0.213;0.19
2;Kai'Sa;50;0.909;12;38;10;21;17;55.3;5.18;2.03;3.95;4.51;307.37;9.24;14.7;442;0.694;0.394;0.247
3;Rell;49;0.891;26;23;8;10;13;43.5;0.91;3.17;8.35;2.92;37.57;1.08;7.7;223;0.642;0.063;0.125
4;Renekton;44;0.8;29;15;7;13;2;86.7;2;2.33;6.27;3.54;276.27;8.45;13.2;403;0.574;0.139;0.215
5;Azir;42;0.764;18;24;10;13;11;54.2;3.33;2.33;4.42;3.32;300.63;9.3;13.5;418;0.641;0.276;0.233
6;Senna;42;0.764;30;12;7;6;6;50;2.75;2;7.83;5.29;112.33;3.4;11.1;337;0.814;0.212;0.19
7;Seraphine;39;0.709;29;10;8;4;6;40;1.6;1.7;9.7;6.65;201.5;5.74;11.4;325;0.734;0.104;0.184
8;Alistar;36;0.655;14;22;10;10;12;45.5;0.73;3.18;8.82;3;35.59;1.06;7.6;226;0.722;0.055;0.128
9;Camille;35;0.636;22;13;8;4;9;30.8;2.92;3.92;3.92;1.75;245.38;7.42;12.4;376;0.627;0.268;0.222
10;Orianna;34;0.618;13;21;7;11;10;52.4;2.9;2.38;7.19;4.24;316.43;8.88;14.1;396;0.741;0.213;0.225
11;Hecarim;33;0.6;15;18;7;12;6;66.7;3.5;1.94;6.5;5.14;216.33;6.46;12.2;365;0.706;0.247;0.2
12;Gnar;31;0.564;14;17;8;9;8;52.9;2.94;2.94;6.59;3.24;249.41;7.41;12.5;372;0.698;0.216;0.208
13;Gragas;30;0.545;9;21;13;10;11;47.6;1.81;2.76;6.14;2.88;214.95;6.39;11.1;329;0.59;0.134;0.189
14;Gangplank;30;0.545;18;12;8;4;8;33.3;2;3.58;4.17;1.72;275.5;8.04;13.8;402;0.561;0.182;0.229
15;Lillia;29;0.527;10;19;9;9;10;47.4;2.26;2.32;5.63;3.41;213.05;6.52;11.2;344;0.661;0.189;0.195
16;Thresh;29;0.527;19;10;7;6;4;60;0.8;3;9.1;3.3;37.7;1.11;7.9;232;0.805;0.065;0.13
17;Twisted Fate;29;0.527;22;7;5;4;3;57.1;1.71;2.86;6.86;3;255.71;7.66;13;389;0.682;0.136;0.214
18;Syndra;27;0.491;12;15;7;6;9;40;2.8;2.4;4.2;2.92;311.93;8.85;13.5;384;0.665;0.266;0.224
19;Pantheon;26;0.473;20;6;5;5;1;83.3;1.33;2.5;5.83;2.87;109.67;3.69;8.8;295;0.544;0.101;0.156
20;Graves;24;0.436;10;14;6;2;12;14.3;2;2.86;3.36;1.88;218.79;6.74;11;338;0.63;0.235;0.206
21;Taliyah;19;0.345;7;12;6;5;7;41.7;3.5;3.25;6.33;3.03;221.42;6.8;12.1;370;0.738;0.263;0.207
22;Galio;17;0.309;8;9;8;5;4;55.6;1;2.78;8.56;3.44;107.67;3.16;9.2;270;0.711;0.074;0.151
23;Tristana;17;0.309;9;8;6;6;2;75;6.25;2.75;4.63;3.95;313.88;9;15.9;456;0.68;0.391;0.246
24;Xayah;14;0.255;5;9;6;2;7;22.2;3.33;3.22;3.89;2.24;340.56;9.44;15.1;420;0.714;0.33;0.247
25;Aphelios;13;0.236;3;10;6;6;4;60;2.6;2.8;6.1;3.11;353.3;9.82;15.9;441;0.69;0.206;0.248
