,patch,winside,BB1,RB1,BB2,RB2,BB3,RB3,BP1,RP1,RP2,BP2,BP3,RP3,RB4,BB4,RB5,BB5,RP4,BP4,BP5,RP5
0,11.4,Blue,azir,udyr,olaf,seraphine,hecarim,senna,rell,kaisa,skarner,gnar,gnar,jayce,twistedfate,alistar,jarvaniv,pantheon,syndra,drmundo,sylas,rakan
1,11.4,Red,tristana,udyr,lillia,olaf,rell,ezreal,seraphine,senna,hecarim,jinx,jinx,karma,thresh,camille,irelia,tahmkench,azir,sion,lulu,aatrox
2,11.4,Blue,twistedfate,udyr,seraphine,hecarim,irelia,olaf,kaisa,gnar,azir,syndra,syndra,rell,galio,tristana,alistar,kalista,lillia,skarner,rakan,aphelios
3,11.4,Red,senna,udyr,twistedfate,azir,thresh,graves,seraphine,olaf,rell,alistar,alistar,renekton,gnar,kaisa,syndra,ezreal,orianna,zoe,gangplank,tristana
4,11.4,Blue,renekton,udyr,lillia,olaf,hecarim,tristana,rell,alistar,graves,kaisa,kaisa,orianna,azir,xayah,reksai,sylas,jhin,malphite,yasuo,sion
5,11.4,Blue,gnar,udyr,lillia,rell,graves,seraphine,olaf,gragas,syndra,renekton,renekton,hecarim,kalista,kaisa,varus,senna,jinx,aphelios,thresh,tahmkench
6,11.4,Red,azir,udyr,thresh,seraphine,kalista,senna,rell,kaisa,hecarim,orianna,orianna,alistar,draven,syndra,gangplank,twistedfate,zoe,tristana,camille,renekton
7,11.4,Red,twistedfate,udyr,renekton,rell,senna,graves,seraphine,olaf,gragas,kaisa,kaisa,zoe,sion,jinx,hecarim,irelia,aphelios,gnar,jarvaniv,thresh
8,11.4,Blue,seraphine,udyr,tristana,gragas,lillia,rell,olaf,senna,graves,renekton,renekton,tahmkench,jinx,azir,ezreal,gnar,syndra,varus,neeko,sion
9,11.4,Red,gnar,udyr,azir,senna,lillia,camille,seraphine,kaisa,hecarim,tristana,tristana,syndra,renekton,rell,gangplank,pantheon,shen,alistar,gragas,galio
10,11.4,Blue,camille,udyr,lillia,thresh,gangplank,olaf,rell,jinx,gragas,kaisa,kaisa,skarner,orianna,lulu,twistedfate,irelia,syndra,karma,azir,janna
11,11.3,Blue,rell,udyr,senna,seraphine,irelia,olaf,kaisa,graves,alistar,gnar,gnar,samira,gragas,gangplank,rakan,malphite,ornn,azir,galio,corki
12,11.3,Blue,senna,rell,alistar,udyr,olaf,azir,renekton,gragas,ashe,orianna,orianna,thresh,kaisa,reksai,nautilus,tristana,skarner,tahmkench,aphelios,lucian
13,11.3,Red,pantheon,udyr,camille,renekton,graves,thresh,olaf,gragas,lillia,rell,rell,tristana,gnar,alistar,syndra,yone,sivir,aatrox,orianna,janna
14,11.3,Blue,senna,udyr,tristana,seraphine,yone,lillia,rell,thresh,aphelios,syndra,syndra,skarner,kaisa,orianna,kalista,azir,viktor,gangplank,ezreal,gnar
15,11.3,Blue,senna,udyr,kaisa,seraphine,hecarim,thresh,azir,olaf,rell,alistar,alistar,samira,lillia,syndra,nidalee,orianna,corki,skarner,gnar,lulu
16,11.3,Blue,pantheon,udyr,camille,seraphine,olaf,thresh,lillia,gragas,graves,tahmkench,tahmkench,ezreal,gnar,karma,tristana,gangplank,bard,yone,shen,azir
17,11.3,Red,renekton,udyr,senna,olaf,hecarim,rell,nidalee,lillia,kaisa,galio,galio,gnar,thresh,lucian,kalista,ryze,alistar,samira,leona,yone
18,11.3,Blue,twistedfate,udyr,renekton,azir,taliyah,olaf,kaisa,senna,tahmkench,hecarim,hecarim,syndra,orianna,graves,gragas,aatrox,nidalee,viktor,gnar,jayce
19,11.3,Red,camille,udyr,seraphine,gangplank,senna,rell,graves,kaisa,lillia,alistar,alistar,renekton,aatrox,leona,gnar,gragas,galio,azir,ornn,viktor
20,11.3,Blue,gnar,udyr,azir,olaf,seraphine,rell,gragas,senna,tahmkench,lulu,lulu,renekton,hecarim,nidalee,ryze,syndra,twistedfate,tristana,lillia,kayn
21,11.3,Red,senna,udyr,renekton,camille,thresh,seraphine,rell,olaf,kaisa,gragas,gragas,aatrox,orianna,sett,tristana,alistar,twistedfate,draven,azir,nautilus
22,11.3,Blue,twistedfate,udyr,renekton,olaf,senna,pantheon,kaisa,rell,hecarim,gnar,gnar,samira,lillia,leblanc,alistar,shen,gangplank,nidalee,galio,ryze
23,11.3,Red,seraphine,udyr,syndra,olaf,thresh,senna,gragas,rell,azir,kaisa,kaisa,hecarim,orianna,samira,gangplank,renekton,tristana,pantheon,yone,camille
24,11.3,Blue,senna,renekton,yone,udyr,thresh,olaf,seraphine,rell,kaisa,azir,azir,hecarim,graves,sylas,kindred,syndra,orianna,jarvaniv,gnar,gangplank
25,11.3,Red,senna,graves,olaf,udyr,seraphine,samira,rell,kaisa,gragas,lillia,lillia,alistar,orianna,hecarim,camille,tristana,reksai,aatrox,zoe,ryze
26,11.3,Blue,twistedfate,udyr,olaf,renekton,camille,rell,gragas,graves,gangplank,samira,samira,kaisa,nocturne,malzahar,alistar,nautilus,syndra,aatrox,leona,galio
27,11.3,Blue,seraphine,udyr,senna,olaf,camille,rell,gragas,kaisa,graves,alistar,alistar,leona,hecarim,azir,yone,gangplank,syndra,taliyah,tristana,aatrox
28,11.3,Red,twistedfate,udyr,rell,olaf,thresh,renekton,lillia,senna,tahmkench,gnar,gnar,gangplank,bard,hecarim,karma,syndra,kayn,seraphine,lucian,zoe
29,11.3,Red,renekton,seraphine,azir,udyr,syndra,olaf,orianna,kaisa,hecarim,camille,camille,viktor,thresh,gangplank,senna,rell,shen,xayah,alistar,pantheon
30,11.3,Blue,azir,udyr,camille,senna,graves,orianna,olaf,kaisa,rell,twistedfate,twistedfate,lillia,alistar,gnar,thresh,gangplank,quinn,ezreal,nautilus,ryze
31,11.3,Blue,renekton,udyr,pantheon,olaf,senna,hecarim,camille,kaisa,graves,rell,rell,alistar,lucian,syndra,samira,orianna,gragas,seraphine,tristana,leblanc
32,11.3,Blue,camille,udyr,taliyah,olaf,seraphine,syndra,azir,graves,jhin,kaisa,kaisa,zoe,gangplank,rell,alistar,jayce,nautilus,gnar,pantheon,kennen
33,11.3,Red,renekton,udyr,seraphine,olaf,gragas,senna,kaisa,twistedfate,thresh,alistar,alistar,aphelios,galio,taliyah,zoe,nidalee,kindred,gangplank,azir,rumble
34,11.3,Blue,senna,udyr,renekton,olaf,camille,hecarim,rell,kaisa,taliyah,samira,samira,aatrox,nocturne,alistar,graves,pantheon,sett,reksai,zoe,galio
35,11.3,Blue,renekton,olaf,senna,udyr,rell,camille,graves,kaisa,alistar,missfortune,missfortune,taliyah,gragas,twistedfate,gnar,zoe,gangplank,chogath,yone,sylas
36,11.3,Blue,seraphine,olaf,irelia,udyr,camille,taliyah,renekton,azir,gnar,orianna,orianna,lillia,kaisa,senna,ezreal,leona,aphelios,kalista,thresh,nautilus
37,11.3,Blue,twistedfate,udyr,taliyah,renekton,camille,kaisa,olaf,azir,graves,gragas,gragas,gnar,seraphine,kalista,rell,aphelios,senna,ezreal,bard,thresh
38,11.3,Blue,twistedfate,renekton,rell,udyr,lillia,olaf,graves,kaisa,taliyah,tahmkench,tahmkench,blitzcrank,shen,pantheon,orianna,syndra,camille,ryze,gragas,galio
39,11.3,Red,olaf,udyr,skarner,zoe,thresh,taliyah,rell,kaisa,alistar,orianna,orianna,azir,gangplank,camille,hecarim,nidalee,lillia,renekton,graves,gnar
40,11.3,Blue,gragas,twistedfate,hecarim,pantheon,graves,rell,udyr,seraphine,olaf,orianna,orianna,azir,kaisa,gnar,leona,missfortune,gangplank,senna,tahmkench,maokai
41,11.2,Blue,azir,twistedfate,udyr,galio,pantheon,olaf,taliyah,kaisa,syndra,sett,sett,gragas,aphelios,hecarim,xayah,nocturne,rengar,senna,tahmkench,blitzcrank
42,11.2,Red,kaisa,twistedfate,renekton,seraphine,nidalee,pantheon,udyr,olaf,azir,thresh,thresh,xayah,jhin,rakan,orianna,gangplank,lulu,aphelios,zoe,leona
43,11.2,Blue,seraphine,olaf,hecarim,udyr,rell,jax,pantheon,camille,lillia,renekton,renekton,orianna,azir,alistar,twistedfate,galio,leona,kaisa,yone,lucian
44,11.2,Blue,gangplank,pantheon,camille,olaf,twistedfate,renekton,udyr,taliyah,alistar,orianna,orianna,xayah,rell,azir,rakan,jayce,gnar,nautilus,sylas,viktor
45,11.2,Blue,seraphine,renekton,olaf,camille,lulu,azir,pantheon,udyr,kaisa,syndra,syndra,orianna,xayah,rell,senna,alistar,aatrox,thresh,aphelios,nautilus
46,11.2,Blue,seraphine,udyr,pantheon,camille,irelia,senna,olaf,kaisa,orianna,twistedfate,twistedfate,hecarim,jayce,gragas,gnar,alistar,rell,rakan,gangplank,ivern
47,11.2,Blue,rell,pantheon,renekton,olaf,nidalee,twistedfate,udyr,kaisa,camille,azir,azir,taliyah,senna,galio,thresh,orianna,leona,missfortune,alistar,corki
48,11.2,Blue,irelia,galio,udyr,twistedfate,pantheon,olaf,taliyah,gragas,rell,renekton,renekton,samira,alistar,gnar,sett,gangplank,orianna,syndra,leona,nocturne
49,11.2,Blue,olaf,gangplank,gnar,pantheon,kaisa,seraphine,udyr,gragas,azir,orianna,orianna,xayah,senna,kindred,aphelios,jarvaniv,drmundo,missfortune,thresh,blitzcrank
50,11.2,Red,renekton,olaf,xayah,seraphine,udyr,pantheon,taliyah,kaisa,rell,alistar,alistar,hecarim,missfortune,gragas,orianna,ryze,shen,twistedfate,senna,leblanc
51,11.2,Blue,seraphine,azir,pantheon,olaf,renekton,thresh,kaisa,rell,xayah,orianna,orianna,lillia,leona,irelia,gangplank,camille,twistedfate,alistar,gnar,aatrox
52,11.2,Red,twistedfate,pantheon,seraphine,olaf,renekton,jayce,camille,taliyah,galio,kaisa,kaisa,jax,rell,senna,alistar,thresh,missfortune,leona,syndra,azir
53,11.2,Red,twistedfate,pantheon,galio,taliyah,kaisa,renekton,udyr,camille,orianna,azir,azir,olaf,seraphine,rell,blitzcrank,senna,alistar,xayah,rakan,aphelios
54,11.2,Red,olaf,gangplank,nidalee,camille,seraphine,thresh,udyr,kaisa,pantheon,tahmkench,tahmkench,orianna,azir,rell,renekton,jayce,blitzcrank,yone,kennen,irelia
55,11.2,Red,twistedfate,pantheon,renekton,olaf,kaisa,udyr,taliyah,seraphine,rell,syndra,syndra,hecarim,xayah,galio,samira,shen,camille,gangplank,missfortune,orianna
