,champion,games,prescence,bans,picks,byteam,wins,losses,winrate,kills,deaths,assists,kda,cs,cspm,gold,gpm,killpart,killshare,goldshare
0,Camille,70,0.875,56,14,8,12,2,85.7,4.36,2.43,5.57,4.09,246.79,8.04,13,425.0,0.599,0.263,0.22399999999999998
1,Kai'Sa,67,0.838,26,41,10,24,17,58.5,4.95,2.51,5.17,4.03,283.17,8.73,14.1,436.0,0.688,0.337,0.242
2,Olaf,62,0.775,50,12,9,5,7,41.7,3.67,3.08,6.42,3.27,197.5,5.76,11.8,343.0,0.672,0.244,0.193
3,Renekton,59,0.738,39,20,11,8,12,40,2.35,2.9,4.55,2.38,252.65,8.03,12,382.0,0.595,0.203,0.222
4,Aphelios,55,0.688,25,30,8,17,13,56.7,3.67,2.23,5.5,4.1,274.57,8.85,13,420.0,0.6409999999999999,0.256,0.23399999999999999
5,Udyr,55,0.688,28,27,12,14,13,51.9,2.33,2.74,7.56,3.61,204.15,6.24,11.4,348.0,0.6970000000000001,0.16399999999999998,0.196
6,Rell,54,0.675,22,32,10,12,20,37.5,0.59,4.53,8.22,1.94,34.09,1.08,7,223.0,0.688,0.046,0.128
7,Orianna,54,0.675,27,27,11,17,10,63,3.44,2.0,7.96,5.7,285.11,8.65,13.3,404.0,0.746,0.225,0.22399999999999998
8,Gnar,48,0.6,21,27,9,18,9,66.7,3.11,2.67,5.96,3.4,247.3,7.68,12.5,390.0,0.613,0.21,0.215
9,Alistar,44,0.55,13,31,12,18,13,58.1,0.55,3.35,9.94,3.13,34.87,1.08,7.5,233.0,0.6940000000000001,0.036000000000000004,0.128
10,Leona,41,0.512,10,31,12,22,9,71,0.71,2.81,9.26,3.55,38.87,1.19,7.8,238.0,0.645,0.046,0.129
11,Azir,41,0.512,21,20,10,12,8,60,3.6,2.1,5.05,4.12,274.95,8.79,12.8,410.0,0.631,0.263,0.228
12,Pantheon,41,0.512,40,1,1,0,1,0,5.0,4.0,7,3,206.0,6.29,11.7,356.0,0.9229999999999999,0.385,0.221
13,Syndra,38,0.475,18,20,9,7,13,35,3.35,2.2,4.95,3.77,273.1,8.27,12.5,379.0,0.626,0.253,0.22
14,Zoe,38,0.475,22,16,6,9,7,56.3,3.75,1.13,6.13,8.78,253.25,7.7,12.5,381.0,0.6809999999999999,0.259,0.215
15,Graves,37,0.46299999999999997,10,27,10,13,14,48.1,3.56,2.37,4.63,3.45,207.96,6.94,11.3,377.0,0.664,0.28800000000000003,0.214
16,Lillia,37,0.46299999999999997,13,24,11,13,11,54.2,1.92,2.71,6.96,3.28,209.21,6.48,11,341.0,0.636,0.13699999999999998,0.191
17,Galio,37,0.46299999999999997,19,18,9,11,7,61.1,1.56,2.61,8.61,3.89,109.61,3.64,8.7,289.0,0.675,0.10300000000000001,0.161
18,Jayce,37,0.46299999999999997,27,10,7,4,6,40,3.6,3.6,4.4,2.22,265.7,7.97,13,391.0,0.62,0.27899999999999997,0.22399999999999998
