,champion,games,prescence,bans,picks,byteam,wins,losses,winrate,kills,deaths,assists,kda,cs,cspm,gold,gpm,killpart,killshare,goldshare
0,Kai'Sa,146,0.9179999999999999,30,116,13,58,58,50,4.36,2.08,3.58,3.82,325.83,9.73,14.8,442.0,0.635,0.349,0.245
1,Gnar,139,0.8740000000000001,79,60,11,27,33,45,2.12,2.97,4.72,2.3,275.0,8.0,13.1,381.0,0.5660000000000001,0.175,0.213
2,Renekton,125,0.7859999999999999,77,48,13,30,18,62.5,2.38,2.1,5.27,3.63,275.31,8.54,13,403.0,0.574,0.17800000000000002,0.218
3,Rell,123,0.774,64,59,10,30,29,50.8,0.61,3.22,7.69,2.58,37.59,1.15,7.4,225.0,0.644,0.047,0.126
4,Alistar,109,0.6859999999999999,47,62,10,30,32,48.4,0.5,3.0,7.5,2.67,35.71,1.08,7.3,221.0,0.68,0.043,0.125
5,Olaf,109,0.6859999999999999,58,51,13,23,28,45.1,3.29,2.59,4.69,3.08,188.8,5.81,11.1,342.0,0.6890000000000001,0.284,0.19399999999999998
6,Taliyah,104,0.654,85,19,11,17,2,89.5,3.63,2.37,6.79,4.4,224.42,6.76,12.4,374.0,0.611,0.213,0.193
7,Syndra,100,0.629,37,63,11,35,28,55.6,2.32,2.08,4.89,3.47,294.62,8.78,12.9,385.0,0.59,0.19,0.214
8,Gragas,100,0.629,50,50,16,24,26,48,1.74,2.7,6.4,3.01,184.56,5.64,10.5,322.0,0.619,0.132,0.182
9,Orianna,99,0.623,33,66,14,34,32,51.5,2.35,1.97,6.52,4.5,308.35,9.04,13.5,396.0,0.721,0.191,0.222
10,Samira,99,0.623,42,57,13,23,34,40.4,4.35,2.3,3.4,3.37,292.19,8.99,13.6,419.0,0.649,0.364,0.24
11,Udyr,98,0.616,54,44,16,22,22,50,1.73,2.0,7.39,4.56,210.18,6.25,11.4,339.0,0.728,0.138,0.18899999999999997
12,Azir,98,0.616,55,43,11,22,21,51.2,2.77,2.21,5.6,3.79,300.23,9.12,13.3,403.0,0.6679999999999999,0.221,0.22399999999999998
13,Aphelios,88,0.5529999999999999,50,38,10,21,17,55.3,3.74,2.13,3.87,3.57,335.76,10.09,15,450.0,0.618,0.303,0.25
14,Lillia,87,0.547,37,50,15,25,25,50,2.68,2.24,6.1,3.92,222.58,6.5,11.9,347.0,0.67,0.205,0.192
15,Seraphine,87,0.547,68,19,11,8,11,42.1,1.11,2.32,9.21,4.45,140.37,4.24,9.9,298.0,0.871,0.09300000000000001,0.172
16,Nidalee,83,0.522,33,50,11,26,24,52,2.94,1.76,5.1,4.57,220.9,6.65,12,360.0,0.7070000000000001,0.258,0.2
17,Graves,78,0.491,32,46,14,21,25,45.7,3.3,2.3,4.91,3.57,240.43,7.27,12.4,374.0,0.7120000000000001,0.28600000000000003,0.213
18,Thresh,75,0.47200000000000003,38,37,8,20,17,54.1,0.51,2.73,8.41,3.27,38.32,1.13,7.8,228.0,0.75,0.043,0.128
19,Pantheon,74,0.465,51,23,12,10,13,43.5,2.83,3.74,5.43,2.21,180.35,5.56,10.6,327.0,0.638,0.218,0.18600000000000003
20,Camille,72,0.45299999999999996,41,31,9,17,14,54.8,3.26,2.77,4.97,2.97,283.32,8.55,13.7,414.0,0.5529999999999999,0.21899999999999997,0.223
21,Zoe,59,0.371,20,39,13,20,19,51.3,2.49,1.54,5.56,5.23,272.97,8.55,12.3,384.0,0.72,0.222,0.218
