,champion,games,prescence,bans,picks,byteam,wins,losses,winrate,kills,deaths,assists,kda,cs,cspm,gold,gpm,killpart,killshare,goldshare
0,Udyr,32,1.0,25,7,6,5,2,71.4,3.86,2.0,9,6.43,194.0,6.0,11.8,365.0,0.804,0.24100000000000002,0.198
1,Rell,31,0.9690000000000001,12,19,8,8,11,42.1,0.89,3.79,8.26,2.42,39.21,1.14,7.9,229.0,0.642,0.063,0.131
2,Gnar,30,0.938,11,19,6,13,6,68.4,3.0,1.95,7.26,5.27,270.42,7.55,13.6,379.0,0.6409999999999999,0.188,0.21100000000000002
3,Thresh,30,0.938,21,9,5,5,4,55.6,1.0,2.89,8,3.12,37.22,1.1,7.9,231.0,0.698,0.078,0.134
4,Kai'Sa,29,0.9059999999999999,11,18,8,5,13,27.8,4.22,2.39,2.67,2.88,288.11,8.92,13.5,417.0,0.738,0.452,0.249
5,Orianna,28,0.875,15,13,6,8,5,61.5,3.92,2.0,8.08,6,330.23,9.22,14.9,415.0,0.736,0.24100000000000002,0.233
6,Seraphine,27,0.8440000000000001,21,6,4,6,0,100,1.67,1.33,11.83,10.13,199.67,6.66,11,369.0,0.75,0.09300000000000001,0.191
7,Camille,24,0.75,20,4,3,0,4,0,2.5,3.75,3.5,1.6,239.75,7.4,11.8,364.0,0.6,0.25,0.225
8,Hecarim,23,0.7190000000000001,9,14,9,9,5,64.3,2.79,2.64,9,4.46,191.71,5.81,11.4,344.0,0.747,0.17600000000000002,0.191
9,Lillia,22,0.688,5,17,7,10,7,58.8,3.0,2.88,6.59,3.33,219.18,6.0,12.1,330.0,0.655,0.205,0.18899999999999997
10,Azir,19,0.594,8,11,5,6,5,54.5,3.55,2.55,4.82,3.29,284.91,8.93,12.9,406.0,0.652,0.27699999999999997,0.23600000000000002
11,Xayah,18,0.563,7,11,8,4,7,36.4,3.27,2.45,5.73,3.67,311.55,9.28,13.9,414.0,0.7020000000000001,0.255,0.24600000000000002
12,Alistar,18,0.563,8,10,5,6,4,60,0.8,2.6,9.2,3.85,37.6,1.13,7.6,229.0,0.758,0.061,0.131
13,Olaf,16,0.5,7,9,6,2,7,22.2,3.56,3.44,4.44,2.32,189.22,5.88,10.8,337.0,0.6729999999999999,0.299,0.203
14,Renekton,13,0.406,6,7,5,4,3,57.1,2.71,3.0,4.57,2.43,220.0,7.32,11.1,371.0,0.593,0.221,0.20600000000000002
