,champion,games,prescence,bans,picks,byteam,wins,losses,winrate,kills,deaths,assists,kda,cs,cspm,gold,gpm,killpart,killshare,goldshare
0,Udyr,27,1.0,24,3,2,2,1,66.7,1.67,2.33,5,2.86,198.33,6.4,10.7,345.0,0.5710000000000001,0.14300000000000002,0.2
1,Seraphine,25,0.9259999999999999,19,6,5,3,3,50,1.5,2.33,9.83,4.86,106.83,3.08,9.8,283.0,0.68,0.09,0.162
2,Thresh,24,0.889,15,9,4,5,4,55.6,0.67,3.22,8.22,2.76,37.33,1.23,7.1,234.0,0.672,0.05,0.132
3,Gnar,20,0.741,6,14,8,10,4,71.4,2.64,2.79,6.64,3.33,235.29,7.38,12,376.0,0.565,0.161,0.209
4,Kai'Sa,20,0.741,7,13,6,7,6,53.8,5.92,1.92,4.08,5.2,286.92,9.25,14,451.0,0.703,0.41600000000000004,0.255
5,Gragas,19,0.7040000000000001,12,7,5,3,4,42.9,1.57,2.71,6.29,2.89,124.43,4.21,8.3,281.0,0.611,0.122,0.162
6,Syndra,17,0.63,9,8,5,5,3,62.5,3.88,2.25,5.75,4.28,253.0,8.59,11.9,404.0,0.5920000000000001,0.23800000000000002,0.225
7,Lillia,16,0.593,2,14,5,10,4,71.4,3.5,2.29,8.29,5.16,190.64,6.15,10.9,351.0,0.7020000000000001,0.209,0.193
8,Camille,16,0.593,9,7,5,2,5,28.6,2.0,2.57,2.71,1.83,212.29,7.4,10.4,361.0,0.47100000000000003,0.2,0.21899999999999997
9,Rell,15,0.556,3,12,6,3,9,25,0.67,4.25,6.83,1.76,35.33,1.15,6.8,222.0,0.647,0.057999999999999996,0.132
10,Xayah,15,0.556,6,9,5,5,4,55.6,3.78,2.11,4.22,3.79,283.67,9.89,12.6,440.0,0.585,0.276,0.247
11,Orianna,15,0.556,8,7,5,3,4,42.9,2.43,3.43,6,2.46,241.0,8.38,11,381.0,0.72,0.207,0.22
12,Tristana,15,0.556,10,5,5,3,2,60,3.2,1.8,6.6,5.44,299.8,8.75,14.3,416.0,0.59,0.193,0.23399999999999999
13,Yone,15,0.556,12,3,2,1,2,33.3,3.67,3.33,5,2.6,250.0,7.47,12.6,376.0,0.619,0.262,0.21899999999999997
14,Hecarim,14,0.519,5,9,6,3,6,33.3,3.22,4.0,4.67,1.97,185.89,6.14,10.3,340.0,0.657,0.26899999999999996,0.19899999999999998
15,Olaf,11,0.40700000000000003,7,4,3,3,1,75,3.0,1.5,4,4.67,145.25,5.54,9,342.0,0.583,0.25,0.192
16,Viego,11,0.40700000000000003,7,4,3,3,1,75,8.5,3.5,4,3.57,188.0,6.7,12.5,444.0,0.7140000000000001,0.486,0.237
17,Zoe,11,0.40700000000000003,7,4,2,2,2,50,3.0,2.75,5.5,3.09,211.75,7.37,10.2,356.0,0.7559999999999999,0.267,0.214
18,Alistar,10,0.37,1,9,7,7,2,77.8,1.89,2.78,11.33,4.76,36.11,1.16,7.9,253.0,0.713,0.102,0.139
19,Rakan,10,0.37,3,7,4,4,3,57.1,0.57,1.43,10.14,7.5,39.86,1.31,7.4,241.0,0.743,0.04,0.135
20,Azir,10,0.37,6,4,2,2,2,50,2.5,2.0,4.25,3.38,242.5,8.32,10.8,370.0,0.574,0.213,0.21600000000000003
21,Jarvan IV,9,0.33299999999999996,3,6,6,2,4,33.3,1.67,4.5,9,2.37,126.33,3.94,9.3,290.0,0.831,0.13,0.171
22,Galio,9,0.33299999999999996,4,5,3,3,2,60,2.8,2.8,7.8,3.79,184.8,6.68,9.7,350.0,0.726,0.192,0.2
23,Ornn,9,0.33299999999999996,5,4,2,4,0,100,1.0,1.0,9.5,10.5,199.5,7.07,10.2,360.0,0.618,0.059000000000000004,0.184
24,Irelia,9,0.33299999999999996,8,1,1,1,0,100,5.0,4.0,12,4.25,337.0,7.76,17.2,396.0,0.81,0.23800000000000002,0.214
25,Jinx,8,0.29600000000000004,1,7,4,3,4,42.9,3.57,2.43,5.86,3.88,256.57,9.2,11.8,425.0,0.7020000000000001,0.266,0.247
26,Aphelios,8,0.29600000000000004,3,5,4,3,2,60,2.6,1.8,4.8,4.11,306.4,10.41,13,442.0,0.638,0.22399999999999998,0.251
27,Sivir,7,0.259,2,5,3,2,3,40,1.4,3.2,3.4,1.5,313.4,9.76,12.9,402.0,0.5329999999999999,0.156,0.243
28,Karma,7,0.259,3,4,3,1,3,25,0.5,3.25,3.75,1.31,149.0,5.1,8.2,282.0,0.5670000000000001,0.067,0.174
29,Sion,7,0.259,4,3,3,2,1,66.7,0.67,1.67,7.33,4.8,219.0,7.93,9.8,354.0,0.511,0.043,0.193
30,Lucian,6,0.222,2,4,4,3,1,75,5.0,3.25,5.75,3.31,279.5,8.74,13.9,435.0,0.573,0.267,0.23
31,Karthus,6,0.222,4,2,1,1,1,50,4.0,3.5,4,2.29,219.0,7.46,11.2,382.0,0.762,0.381,0.221
