,champion,games,prescence,bans,picks,byteam,wins,losses,winrate,kills,deaths,assists,kda,cs,cspm,gold,gpm,killpart,killshare,goldshare
0,Udyr,59,1.0,48,11,8,5,6,45.5,2.82,1.27,6.18,7.07,226.91,6.88,12.1,368.0,0.6970000000000001,0.218,0.205
1,Olaf,56,0.9490000000000001,40,16,7,12,4,75,3.0,2.44,6.25,3.79,232.31,6.05,13.2,343.0,0.664,0.215,0.191
2,Kai'Sa,54,0.915,13,41,10,23,18,56.1,5.1,1.93,4.05,4.75,312.34,9.32,14.9,444.0,0.693,0.386,0.247
3,Rell,53,0.898,28,25,8,12,13,48,0.92,3.04,8.24,3.01,38.32,1.09,7.8,224.0,0.627,0.063,0.125
4,Renekton,47,0.797,31,16,7,14,2,87.5,2.13,2.44,6.69,3.62,277.13,8.35,13.4,404.0,0.595,0.14300000000000002,0.215
5,Azir,46,0.78,19,27,11,15,12,55.6,3.26,2.44,4.48,3.17,299.74,9.27,13.5,417.0,0.635,0.267,0.231
6,Senna,45,0.763,31,14,7,6,8,42.9,2.5,2.14,7,4.43,103.07,3.19,10.7,331.0,0.8059999999999999,0.212,0.18899999999999997
7,Seraphine,43,0.7290000000000001,32,11,9,5,6,45.5,1.55,1.55,9.36,7.06,202.64,5.94,11.2,330.0,0.7140000000000001,0.10099999999999999,0.185
8,Alistar,38,0.644,15,23,10,10,13,43.5,0.7,3.17,8.96,3.04,35.52,1.05,7.6,225.0,0.725,0.052000000000000005,0.127
9,Camille,37,0.627,23,14,8,5,9,35.7,3.07,3.71,4,1.9,241.64,7.44,12.3,378.0,0.635,0.276,0.222
10,Hecarim,36,0.61,17,19,7,12,7,63.2,3.42,1.95,6.26,4.97,214.42,6.42,12.1,361.0,0.7020000000000001,0.248,0.19899999999999998
11,Gnar,35,0.593,14,21,9,11,10,52.4,2.67,2.9,6.05,3,252.86,7.52,12.5,372.0,0.6609999999999999,0.20199999999999999,0.20800000000000002
12,Orianna,35,0.593,14,21,7,11,10,52.4,2.9,2.38,7.19,4.24,316.43,8.88,14.1,396.0,0.741,0.213,0.225
13,Gragas,32,0.542,10,22,13,10,12,45.5,1.82,2.77,6,2.82,215.68,6.42,11,329.0,0.593,0.138,0.18899999999999997
14,Gangplank,32,0.542,20,12,8,4,8,33.3,2.0,3.58,4.17,1.72,275.5,8.04,13.8,402.0,0.561,0.182,0.22899999999999998
15,Twisted Fate,32,0.542,25,7,5,4,3,57.1,1.71,2.86,6.86,3,255.71,7.66,13,389.0,0.682,0.136,0.214
16,Thresh,31,0.525,21,10,7,6,4,60,0.8,3.0,9.1,3.3,37.7,1.11,7.9,232.0,0.805,0.065,0.13
17,Lillia,30,0.508,10,20,9,9,11,45,2.35,2.3,5.7,3.5,215.65,6.52,11.3,343.0,0.665,0.19399999999999998,0.195
