,champion,games,prescence,bans,picks,byteam,wins,losses,winrate,kills,deaths,assists,kda,cs,cspm,gold,gpm,killpart,killshare,goldshare
0,Twisted Fate,72,0.96,55,17,8,14,3,82.4,2.53,1.41,8.65,7.92,263.41,8.24,13.6,424.0,0.748,0.16899999999999998,0.225
1,Thresh,66,0.88,52,14,9,7,7,50,0.86,3.07,7.21,2.63,38.5,1.13,7.7,225.0,0.7340000000000001,0.078,0.131
2,Kai'Sa,65,0.867,22,43,11,21,22,48.8,5.02,2.33,4.4,4.05,307.44,9.46,14.5,446.0,0.6970000000000001,0.37200000000000005,0.24600000000000002
3,Renekton,59,0.787,33,26,10,12,14,46.2,1.92,2.69,5.23,2.66,281.46,8.19,12.9,376.0,0.5489999999999999,0.147,0.21
4,Rell,55,0.733,25,30,10,21,9,70,0.63,3.4,9.8,3.07,34.57,1.07,7.8,240.0,0.6579999999999999,0.04,0.127
5,Udyr,54,0.72,41,13,8,6,7,46.2,2.08,2.15,5.54,3.54,205.23,6.11,11.3,337.0,0.669,0.182,0.191
6,Lillia,53,0.7070000000000001,22,31,10,13,18,41.9,2.61,2.74,5.58,2.99,208.74,6.15,11.2,331.0,0.65,0.207,0.19
7,Alistar,50,0.667,20,30,10,11,19,36.7,0.63,4.0,8.23,2.22,32.47,1.0,7.3,224.0,0.691,0.049,0.128
8,Olaf,49,0.653,32,17,9,10,7,58.8,4.88,2.82,5.59,3.71,198.82,5.97,11.9,358.0,0.625,0.29100000000000004,0.19399999999999998
9,Gragas,47,0.627,19,28,13,12,16,42.9,1.93,2.39,5.54,3.12,202.46,6.09,10.7,323.0,0.573,0.14800000000000002,0.183
10,Azir,42,0.56,17,25,7,14,11,56,2.96,2.56,5.12,3.16,307.48,9.31,13.6,411.0,0.647,0.237,0.233
11,Taliyah,37,0.493,29,8,7,7,1,87.5,4.25,2.25,8.5,5.67,212.75,7.0,12,395.0,0.713,0.23800000000000002,0.20199999999999999
12,Orianna,36,0.48,10,26,11,13,13,50,2.5,2.19,6.85,4.26,301.77,9.13,13.4,406.0,0.698,0.187,0.228
13,Camille,36,0.48,27,9,5,3,6,33.3,2.0,3.44,4,1.74,250.78,7.78,11.9,371.0,0.551,0.184,0.215
14,Pantheon,35,0.467,25,10,8,5,5,50,4.1,3.3,8,3.67,194.6,6.16,11.4,360.0,0.752,0.255,0.193
15,Syndra,34,0.45299999999999996,16,18,11,4,14,22.2,2.56,3.11,3.72,2.02,285.06,8.5,12.6,377.0,0.5429999999999999,0.221,0.223
16,Graves,33,0.44,11,22,8,11,11,50,4.14,2.23,4.55,3.9,236.41,7.19,12.6,383.0,0.705,0.336,0.217
17,Gnar,33,0.44,15,18,8,6,12,33.3,1.94,2.17,4.5,2.97,256.44,7.98,12,373.0,0.5579999999999999,0.168,0.213
18,Senna,33,0.44,23,10,6,6,4,60,4.4,2.0,8.1,6.25,123.8,3.63,12.6,369.0,0.856,0.301,0.204
19,Kalista,32,0.42700000000000005,22,10,6,5,5,50,3.9,2.9,4.7,2.97,287.9,8.93,13.6,421.0,0.6940000000000001,0.315,0.23800000000000002
20,Xayah,29,0.387,11,18,8,11,7,61.1,4.33,2.5,5.72,4.02,319.72,9.6,15,449.0,0.6859999999999999,0.295,0.249
21,Lucian,27,0.36,15,12,7,7,5,58.3,3.58,2.0,4.25,3.92,325.83,9.69,14.7,438.0,0.662,0.303,0.24100000000000002
22,Seraphine,27,0.36,18,9,8,6,3,66.7,1.22,1.89,9.67,5.76,127.56,3.98,9.5,296.0,0.685,0.077,0.161
23,Leona,26,0.34700000000000003,7,19,9,8,11,42.1,0.79,4.0,8.11,2.22,39.68,1.22,7.5,229.0,0.665,0.059000000000000004,0.13
24,Aatrox,25,0.33299999999999996,13,12,6,10,2,83.3,4.33,1.42,5.58,7,275.92,8.06,14.3,416.0,0.607,0.265,0.221
25,Hecarim,22,0.293,6,16,7,7,9,43.8,1.69,2.69,6.81,3.16,188.81,5.68,10.6,319.0,0.654,0.13,0.185
26,Zoe,22,0.293,16,6,5,3,3,50,3.5,2.0,4.5,4,246.67,8.11,11.7,386.0,0.565,0.247,0.21600000000000003
