,champion,games,prescence,bans,picks,byteam,wins,losses,winrate,kills,deaths,assists,kda,cs,cspm,gold,gpm,killpart,killshare,goldshare
0,Gnar,50,0.909,25,25,7,13,12,52,2.28,2.44,6,3.39,248.08,7.47,12.3,371.0,0.6509999999999999,0.179,0.21
1,Olaf,49,0.8909999999999999,33,16,6,9,7,56.3,2.38,2.31,6.38,3.78,181.88,5.61,10.8,332.0,0.619,0.168,0.188
2,Rell,47,0.855,18,29,10,18,11,62.1,0.59,3.14,8.59,2.92,35.34,1.11,7.3,228.0,0.621,0.04,0.127
3,Kai'Sa,46,0.836,12,34,8,14,20,41.2,4.26,2.65,4.47,3.3,320.79,9.58,14.5,434.0,0.746,0.364,0.253
4,Udyr,44,0.8,22,22,8,11,11,50,1.82,2.09,6.82,4.13,215.55,6.3,11.6,339.0,0.655,0.138,0.196
5,Renekton,43,0.782,23,20,9,11,9,55,2.5,2.45,5.55,3.29,246.25,7.49,12.2,371.0,0.585,0.182,0.209
6,Thresh,43,0.782,23,20,8,8,12,40,0.65,3.35,6.6,2.16,36.5,1.08,7.4,220.0,0.784,0.07,0.132
7,Seraphine,43,0.782,31,12,9,7,5,58.3,3.08,2.0,9.83,6.46,168.17,5.32,10.4,329.0,0.8759999999999999,0.209,0.187
8,Orianna,33,0.6,15,18,6,11,7,61.1,3.0,2.22,8.17,5.03,275.0,8.06,12.8,377.0,0.804,0.21600000000000003,0.214
9,Camille,32,0.5820000000000001,25,7,4,5,2,71.4,3.29,2.43,5.57,3.65,245.71,7.44,13,393.0,0.614,0.228,0.217
10,Gragas,31,0.564,12,19,9,9,10,47.4,1.58,2.42,6.42,3.3,205.47,6.21,10.7,324.0,0.667,0.132,0.19
11,Twisted Fate,30,0.545,26,4,3,2,2,50,1.25,3.0,6.25,2.5,245.25,7.38,12.9,388.0,0.75,0.125,0.231
12,Taliyah,29,0.527,19,10,6,7,3,70,3.0,1.3,7.6,8.15,222.1,7.3,11.7,385.0,0.731,0.207,0.207
13,Lillia,28,0.509,15,13,7,6,7,46.2,1.62,2.92,5.69,2.5,220.92,6.28,11.5,325.0,0.66,0.146,0.192
14,Alistar,27,0.491,8,19,7,6,13,31.6,0.84,3.42,8.79,2.82,33.11,0.98,7.5,220.0,0.7959999999999999,0.07,0.129
15,Aphelios,23,0.418,10,13,8,7,6,53.8,3.69,2.38,4.23,3.32,341.92,10.19,15.3,455.0,0.78,0.364,0.266
16,Senna,23,0.418,14,9,6,7,2,77.8,4.89,2.56,10.56,6.04,167.44,4.71,13.4,378.0,0.8420000000000001,0.267,0.205
17,Sett,22,0.4,12,10,7,5,5,50,2.5,2.9,7.8,3.55,131.0,4.01,9.9,303.0,0.701,0.17,0.168
18,Azir,20,0.364,4,16,6,7,9,43.8,2.31,3.0,5.44,2.58,283.38,8.27,13,379.0,0.67,0.2,0.217
19,Xayah,20,0.364,6,14,6,9,5,64.3,5.79,2.14,4.64,4.87,331.29,9.73,15.8,464.0,0.7559999999999999,0.42,0.263
20,Lucian,20,0.364,13,7,3,3,4,42.9,5.29,2.43,4.57,4.06,315.0,8.81,15.1,421.0,0.7040000000000001,0.37799999999999995,0.24
21,Syndra,19,0.345,4,15,6,7,8,46.7,3.0,1.73,5.07,4.65,253.8,7.74,11.8,360.0,0.608,0.226,0.20800000000000002
22,Pantheon,19,0.345,18,1,1,0,1,0,1.0,5.0,8,1.8,162.0,5.53,8.9,303.0,0.818,0.091,0.183
23,Galio,18,0.327,11,7,5,5,2,71.4,1.43,2.0,9.57,5.5,119.29,3.59,9.4,282.0,0.77,0.1,0.158
24,Nidalee,17,0.309,10,7,4,4,3,57.1,3.0,2.0,7.14,5.07,234.14,6.47,13.1,362.0,0.747,0.221,0.207
25,Sion,16,0.29100000000000004,4,12,8,5,7,41.7,1.58,2.67,5.75,2.75,236.25,6.87,11.5,334.0,0.662,0.14300000000000002,0.201
26,Graves,15,0.273,3,12,5,4,8,33.3,2.08,3.25,4.58,2.05,230.42,6.94,11.6,349.0,0.7340000000000001,0.22899999999999998,0.209
27,Tristana,15,0.273,9,6,3,4,2,66.7,5.83,1.17,4.83,9.14,330.5,10.1,15.8,483.0,0.7440000000000001,0.40700000000000003,0.265
28,Viktor,14,0.255,5,9,5,4,5,44.4,2.33,1.89,4.33,3.53,292.78,8.51,13,378.0,0.606,0.212,0.213
29,Zoe,14,0.255,7,7,5,3,4,42.9,2.29,1.29,3.71,4.67,267.57,8.03,12,361.0,0.627,0.239,0.214
30,Samira,14,0.255,7,7,3,1,6,14.3,4.71,2.57,4.29,3.5,309.43,9.43,14.3,436.0,0.759,0.39799999999999996,0.255
31,Aatrox,12,0.218,4,8,4,2,6,25,2.0,2.63,4,2.29,242.0,7.35,11.4,346.0,0.545,0.182,0.20600000000000002
32,Hecarim,12,0.218,5,7,5,5,2,71.4,2.57,2.0,7.57,5.07,189.14,6.11,10.9,352.0,0.703,0.17800000000000002,0.192
33,Ezreal,11,0.2,3,8,5,5,3,62.5,5.13,1.75,6.75,6.79,303.13,9.8,14.3,461.0,0.779,0.336,0.251
34,Rakan,11,0.2,4,7,3,2,5,28.6,0.14,3.57,6,1.72,39.86,1.29,6.6,214.0,0.8270000000000001,0.019,0.13
35,Gangplank,10,0.182,7,3,2,1,2,33.3,2.67,2.33,7.33,4.29,278.67,8.61,13.6,421.0,0.789,0.21100000000000002,0.23600000000000002
36,Jayce,10,0.182,7,3,3,1,2,33.3,2.67,2.0,5.33,4,319.0,8.54,15.4,413.0,0.75,0.25,0.244
37,Skarner,9,0.16399999999999998,4,5,2,4,1,80,1.6,2.8,11.8,4.79,167.0,5.03,10.6,320.0,0.677,0.081,0.16899999999999998
38,Nocturne,9,0.16399999999999998,6,3,3,2,1,66.7,3.0,5.0,11.33,2.87,221.67,6.0,12.8,346.0,0.642,0.134,0.192
39,Yone,9,0.16399999999999998,8,1,1,0,1,0,4.0,2.0,3,3.5,284.0,8.24,13.3,385.0,0.875,0.5,0.22699999999999998
40,Leona,8,0.145,2,6,3,4,2,66.7,0.5,4.17,8.17,2.08,43.0,1.17,8.3,225.0,0.565,0.033,0.127
41,Akali,8,0.145,3,5,3,3,2,60,4.6,2.8,3.6,2.93,226.8,7.59,11.2,374.0,0.512,0.287,0.20600000000000002
42,Miss Fortune,8,0.145,3,5,1,2,3,40,3.0,3.8,5.2,2.16,289.4,8.72,13.2,398.0,0.612,0.22399999999999998,0.22899999999999998
43,Darius,8,0.145,7,1,1,0,1,0,0.0,2.0,2,1,227.0,7.84,9,310.0,0.5,0.0,0.19899999999999998
44,Ornn,7,0.127,2,5,3,2,3,40,1.0,1.8,4.4,3,225.6,7.07,10.3,324.0,0.54,0.1,0.192
45,Kalista,7,0.127,3,4,3,2,2,50,5.5,3.5,7,3.57,312.25,9.24,15.1,448.0,0.794,0.349,0.258
46,Sylas,7,0.127,4,3,3,3,0,100,7.33,1.33,9.33,12.5,275.33,8.26,14.3,429.0,0.758,0.33299999999999996,0.225
47,Volibear,6,0.109,1,5,4,2,3,40,3.6,3.0,7,3.53,190.8,5.62,11.4,336.0,0.688,0.23399999999999999,0.192
48,Jinx,6,0.109,2,4,3,1,3,25,3.5,2.5,3.75,2.9,278.0,9.44,12,409.0,0.935,0.452,0.257
49,Karthus,6,0.109,4,2,1,1,1,50,3.5,4.5,7,2.33,243.5,6.73,13.3,369.0,0.875,0.292,0.204
50,Blitzcrank,5,0.091,3,2,1,1,1,50,1.5,7.0,13,2.07,35.0,1.04,8.3,245.0,0.763,0.079,0.133
51,Nautilus,4,0.073,-,4,4,2,2,50,0.75,5.0,8,1.75,71.25,2.02,8.5,241.0,0.593,0.051,0.136
52,Xin Zhao,4,0.073,1,3,1,0,3,0,1.67,3.67,1,0.73,161.33,6.12,8.3,313.0,0.5,0.313,0.196
53,Zilean,4,0.073,3,1,1,1,0,100,6.0,0.0,13,19,238.0,7.44,13.3,416.0,0.731,0.231,0.213
54,Tahm Kench,3,0.055,-,3,2,2,1,66.7,1.33,1.67,7.67,5.4,194.33,5.77,10.9,323.0,0.614,0.091,0.174
55,Vayne,3,0.055,-,3,3,1,2,33.3,3.0,1.67,0.67,2.2,274.0,9.63,12,421.0,0.611,0.5,0.252
56,Jhin,3,0.055,1,2,2,1,1,50,4.0,3.0,6,3.33,270.0,8.36,12.8,395.0,0.769,0.308,0.23199999999999998
57,Karma,3,0.055,1,2,2,0,2,0,0.0,1.5,2.5,1.67,89.0,3.07,6.6,227.0,0.5,0.0,0.151
58,Zed,3,0.055,2,1,1,1,0,100,4.0,1.0,7,11,277.0,8.04,13.3,386.0,0.647,0.235,0.20199999999999999
59,Elise,3,0.055,2,1,1,0,1,0,0.0,2.0,1,0.5,177.0,6.11,8.4,290.0,0.25,0.0,0.18600000000000003
60,Heimerdinger,3,0.055,2,1,1,0,1,0,2.0,7.0,4,0.86,214.0,6.69,9.9,311.0,0.5,0.16699999999999998,0.18899999999999997
61,Jarvan IV,3,0.055,2,1,1,0,1,0,1.0,6.0,11,2,245.0,5.84,12.8,306.0,0.9229999999999999,0.077,0.195
62,Corki,2,0.036000000000000004,-,2,1,1,1,50,1.5,2.5,9.5,4.4,285.5,8.88,11.7,364.0,0.846,0.115,0.218
63,Maokai,2,0.036000000000000004,-,2,2,1,1,50,1.0,1.0,10,11,104.5,3.34,8.5,271.0,0.846,0.077,0.156
64,Rumble,2,0.036000000000000004,-,2,1,1,1,50,7.0,1.0,5,12,279.0,7.51,14.4,386.0,0.727,0.424,0.23
65,Wukong,2,0.036000000000000004,-,2,2,1,1,50,3.0,2.5,5.5,3.4,238.5,7.33,12,369.0,0.5479999999999999,0.19399999999999998,0.203
66,Malphite,2,0.036000000000000004,1,1,1,1,0,100,2.0,2.0,7,4.5,168.0,5.96,9.4,332.0,0.429,0.095,0.163
67,Ziggs,2,0.036000000000000004,1,1,1,1,0,100,3.0,1.0,4,7,232.0,9.27,11,438.0,0.41200000000000003,0.17600000000000002,0.223
68,Kindred,2,0.036000000000000004,1,1,1,0,1,0,1.0,3.0,2,1,244.0,7.04,12.4,359.0,0.6,0.2,0.231
69,LeBlanc,2,0.036000000000000004,1,1,1,0,1,0,2.0,1.0,3,5,265.0,7.76,11.5,336.0,0.625,0.25,0.203
70,Yasuo,2,0.036000000000000004,2,-,-,0,0,,,,,,,,,,,,
71,Ashe,1,0.018000000000000002,-,1,1,1,0,100,3.0,5.0,11,2.8,303.0,7.74,14.3,364.0,0.583,0.125,0.193
72,Braum,1,0.018000000000000002,-,1,1,1,0,100,0.0,0.0,4,4,44.0,1.43,7.4,240.0,0.5,0.0,0.12300000000000001
73,Ivern,1,0.018000000000000002,-,1,1,1,0,100,0.0,0.0,15,15,166.0,4.61,11,306.0,0.882,0.0,0.163
74,Kayn,1,0.018000000000000002,-,1,1,1,0,100,4.0,2.0,11,7.5,203.0,6.53,12.4,398.0,0.833,0.222,0.214
75,Neeko,1,0.018000000000000002,-,1,1,1,0,100,1.0,0.0,2,3,264.0,6.55,12.5,311.0,0.6,0.2,0.187
76,Rek'Sai,1,0.018000000000000002,-,1,1,1,0,100,5.0,0.0,4,9,229.0,8.0,12.9,449.0,1.0,0.556,0.23600000000000002
77,Dr. Mundo,1,0.018000000000000002,-,1,1,0,1,0,1.0,6.0,5,1,198.0,5.48,10.9,301.0,0.75,0.125,0.171
78,Lulu,1,0.018000000000000002,-,1,1,0,1,0,0.0,0.0,0,0,192.0,8.84,7.3,334.0,0.0,0.0,0.23
79,Nunu,1,0.018000000000000002,-,1,1,0,1,0,0.0,5.0,1,0.2,121.0,4.83,6.2,248.0,0.5,0.0,0.16899999999999998
80,Draven,1,0.018000000000000002,1,-,-,0,0,,,,,,,,,,,,
81,Irelia,1,0.018000000000000002,1,-,-,0,0,,,,,,,,,,,,
82,Zac,1,0.018000000000000002,1,-,-,0,0,,,,,,,,,,,,
