,champion,games,prescence,bans,picks,byteam,wins,losses,winrate,kills,deaths,assists,kda,cs,cspm,gold,gpm,killpart,killshare,goldshare
0,Lillia,43,0.8959999999999999,20,23,10,14,9,60.9,3.52,2.13,6.96,4.92,200.7,5.9,11.6,342.0,0.6729999999999999,0.226,0.192
1,Seraphine,42,0.875,33,9,8,5,4,55.6,1.22,2.56,8.33,3.74,164.89,4.68,10.4,294.0,0.723,0.092,0.174
2,Renekton,41,0.8540000000000001,31,10,6,6,4,60,2.3,3.4,6.2,2.5,258.4,7.7,12.5,374.0,0.563,0.152,0.21
3,Kai'Sa,40,0.833,12,28,9,15,13,53.6,5.5,2.43,3.96,3.9,308.64,9.08,14.8,435.0,0.6609999999999999,0.384,0.247
4,Camille,40,0.833,29,11,6,6,5,54.5,3.91,2.91,5.18,3.13,265.64,7.81,13.6,398.0,0.602,0.259,0.226
5,Udyr,39,0.813,32,7,6,5,2,71.4,2.86,1.86,7.29,5.46,213.14,6.15,12.2,352.0,0.6759999999999999,0.19,0.19399999999999998
6,Rell,37,0.7709999999999999,14,23,9,13,10,56.5,0.52,3.39,8.74,2.73,38.48,1.15,7.5,225.0,0.621,0.035,0.129
7,Olaf,35,0.7290000000000001,25,10,7,3,7,30,3.6,3.5,4.3,2.26,214.3,5.87,12.2,334.0,0.6809999999999999,0.31,0.196
8,Azir,33,0.688,12,21,6,13,8,61.9,2.95,2.29,7.29,4.48,297.19,8.68,13.7,400.0,0.634,0.183,0.222
9,Gnar,32,0.667,15,17,8,8,9,47.1,3.29,2.76,7.18,3.79,289.12,7.9,14.6,398.0,0.727,0.22899999999999998,0.226
10,Zoe,29,0.604,17,12,7,3,9,25,2.33,1.75,4.42,3.86,264.42,7.43,12.4,349.0,0.633,0.21899999999999997,0.20800000000000002
11,Alistar,28,0.583,13,15,6,6,9,40,1.13,2.8,8.33,3.38,41.4,1.13,8.5,232.0,0.6829999999999999,0.08199999999999999,0.133
12,Viktor,26,0.542,8,18,8,10,8,55.6,3.67,2.39,5.83,3.98,289.89,8.35,13.7,394.0,0.747,0.28800000000000003,0.228
13,Orianna,26,0.542,11,15,6,8,7,53.3,2.0,3.27,7.4,2.88,303.8,8.22,13.8,372.0,0.684,0.146,0.214
14,Xayah,24,0.5,8,16,7,9,7,56.3,5.25,2.44,5.5,4.41,319.63,9.09,15.3,436.0,0.672,0.32799999999999996,0.245
15,Thresh,24,0.5,12,12,7,5,7,41.7,0.33,2.83,8.33,3.06,37.0,1.03,8,222.0,0.765,0.028999999999999998,0.131
16,Twisted Fate,24,0.5,18,6,4,4,2,66.7,2.17,1.0,9,11.17,248.0,7.86,12.8,405.0,0.753,0.146,0.218
17,Senna,23,0.479,14,9,5,4,5,44.4,2.78,2.22,9.11,5.35,113.67,3.09,12,325.0,0.8290000000000001,0.19399999999999998,0.184
18,Hecarim,21,0.43799999999999994,8,13,8,4,9,30.8,2.85,3.0,5.46,2.77,187.0,5.57,10.8,321.0,0.6920000000000001,0.237,0.191
19,Syndra,19,0.396,10,9,4,5,4,55.6,3.56,2.78,5.33,3.2,291.78,8.33,13.7,391.0,0.5589999999999999,0.22399999999999998,0.218
20,Taliyah,17,0.354,8,9,5,5,4,55.6,2.89,2.33,5,3.38,197.0,5.9,11.2,335.0,0.628,0.23,0.19399999999999998
21,Nidalee,16,0.33299999999999996,6,10,4,8,2,80,4.7,1.4,7.5,8.71,228.8,6.3,13.7,376.0,0.6779999999999999,0.261,0.203
22,Leona,16,0.33299999999999996,8,8,6,3,5,37.5,0.63,5.0,7.5,1.63,41.88,1.23,7.8,229.0,0.565,0.043,0.131
23,Graves,15,0.313,7,8,5,4,4,50,3.88,3.13,4.88,2.8,251.38,6.98,13.5,375.0,0.68,0.301,0.21600000000000003
24,Gragas,14,0.292,4,10,8,2,8,20,1.3,2.8,4.7,2.14,182.0,5.34,10.3,303.0,0.522,0.113,0.179
25,Sion,13,0.271,2,11,6,7,4,63.6,2.45,2.09,6.64,4.35,240.09,6.98,12.2,355.0,0.556,0.15,0.19899999999999998
26,Gangplank,13,0.271,7,6,4,1,5,16.7,1.83,3.67,3.17,1.36,289.67,8.15,14.4,404.0,0.5660000000000001,0.20800000000000002,0.242
27,Tristana,13,0.271,8,5,5,2,3,40,4.6,3.4,4.6,2.71,331.0,8.94,15.9,431.0,0.561,0.28,0.242
28,Irelia,13,0.271,9,4,1,2,2,50,3.75,3.75,3.5,1.93,250.5,7.75,12.2,379.0,0.5920000000000001,0.306,0.218
29,Aatrox,12,0.25,4,8,7,3,5,37.5,2.13,4.13,2.88,1.21,266.63,7.65,12.3,353.0,0.47100000000000003,0.2,0.213
30,Pantheon,12,0.25,8,4,4,0,4,0,2.0,6.0,2.75,0.79,149.75,4.48,9.3,277.0,0.613,0.258,0.174
31,Galio,11,0.22899999999999998,5,6,2,4,2,66.7,1.33,2.67,8.83,3.81,41.83,1.3,7.7,239.0,0.649,0.085,0.135
32,Skarner,11,0.22899999999999998,5,6,5,3,3,50,1.67,1.17,8.67,8.86,175.83,5.24,10.6,314.0,0.7290000000000001,0.11800000000000001,0.17800000000000002
33,Lucian,11,0.22899999999999998,8,3,3,0,3,0,2.67,2.33,2.67,2.29,290.0,9.31,12.4,397.0,0.667,0.33299999999999996,0.24600000000000002
34,Aphelios,10,0.20800000000000002,5,5,4,1,4,20,1.8,3.2,2.2,1.25,332.8,9.84,13.4,397.0,0.769,0.34600000000000003,0.256
35,Nautilus,9,0.188,1,8,4,5,3,62.5,0.88,3.0,8.63,3.17,58.38,1.63,8.5,238.0,0.628,0.057999999999999996,0.134
36,Ezreal,8,0.16699999999999998,1,7,3,4,3,57.1,4.0,2.71,7.43,4.21,276.71,8.51,13.4,412.0,0.7140000000000001,0.25,0.226
37,Jayce,8,0.16699999999999998,2,6,5,4,2,66.7,2.67,4.67,6.17,1.89,294.33,8.28,14.5,409.0,0.541,0.163,0.22699999999999998
38,Jinx,7,0.146,2,5,3,4,1,80,5.2,2.2,6.6,5.36,299.4,8.95,14.5,435.0,0.747,0.32899999999999996,0.244
39,Rakan,7,0.146,2,5,4,4,1,80,0.8,1.4,12,9.14,46.8,1.41,8.2,247.0,0.78,0.049,0.131
40,Tahm Kench,6,0.125,2,4,3,1,3,25,1.25,1.75,4.75,3.43,208.75,5.7,11.4,312.0,0.6,0.125,0.182
41,Samira,6,0.125,3,3,3,0,3,0,2.0,4.33,1.67,0.85,224.67,7.9,9.8,345.0,0.524,0.28600000000000003,0.221
42,Miss Fortune,6,0.125,4,2,2,1,1,50,4.0,2.0,4,4,398.5,8.82,18.8,416.0,0.667,0.33299999999999996,0.245
43,Sett,6,0.125,4,2,2,1,1,50,1.5,3.0,6,2.5,174.5,5.51,10.8,343.0,0.517,0.10300000000000001,0.188
44,Jhin,5,0.10400000000000001,-,5,4,3,2,60,3.0,1.4,6.4,6.71,298.8,9.01,13.3,401.0,0.7340000000000001,0.23399999999999999,0.235
45,Ornn,5,0.10400000000000001,-,5,5,2,3,40,0.6,3.8,6.6,1.89,218.4,6.32,10.8,313.0,0.59,0.049,0.18600000000000003
46,Yone,5,0.10400000000000001,2,3,2,2,1,66.7,5.67,1.67,7,7.6,329.67,9.26,16.1,451.0,0.679,0.304,0.245
47,Maokai,4,0.083,1,3,2,2,1,66.7,1.33,3.33,13.33,4.4,140.33,3.85,10.6,291.0,0.698,0.063,0.158
48,Volibear,4,0.083,1,3,3,1,2,33.3,2.67,3.33,6,2.6,232.67,7.03,11.5,347.0,0.722,0.222,0.20800000000000002
49,Ashe,4,0.083,2,2,2,1,1,50,4.0,1.0,5.5,9.5,342.5,8.76,16,410.0,0.826,0.348,0.226
50,Corki,4,0.083,2,2,2,0,2,0,3.0,4.0,6.5,2.38,308.0,8.67,13.7,386.0,0.655,0.207,0.23399999999999999
51,Ryze,3,0.063,1,2,2,0,2,0,1.0,4.5,3.5,1,256.5,8.43,10.7,350.0,0.643,0.14300000000000002,0.22899999999999998
52,Kalista,3,0.063,2,1,1,1,0,100,5.0,0.0,6,11,327.0,9.69,15.2,449.0,1.0,0.455,0.24100000000000002
53,Vayne,3,0.063,2,1,1,1,0,100,7.0,0.0,7,14,302.0,8.47,15.1,424.0,0.8240000000000001,0.41200000000000003,0.22699999999999998
54,Jax,2,0.042,-,2,1,2,0,100,4.5,3.5,8.5,3.71,239.5,7.98,13,433.0,0.634,0.22,0.213
55,Cho'Gath,2,0.042,-,2,1,1,1,50,4.5,5.0,4,1.7,280.5,7.15,13.8,351.0,0.5670000000000001,0.3,0.212
56,Lulu,2,0.042,-,2,2,1,1,50,0.0,1.5,5,3.33,120.5,4.2,7.6,265.0,0.7140000000000001,0.0,0.166
57,Qiyana,2,0.042,-,2,1,1,1,50,3.5,4.5,7.5,2.44,233.5,6.32,12.2,331.0,0.579,0.184,0.18899999999999997
