,champion,games,prescence,bans,picks,byteam,wins,losses,winrate,kills,deaths,assists,kda,cs,cspm,gold,gpm,killpart,killshare,goldshare
0,Kai'Sa,219,0.9690000000000001,98,121,21,74,47,61.2,5.32,2.07,4.54,4.75,299.77,9.74,14.2,463.0,0.693,0.374,0.249
1,Renekton,195,0.863,119,76,24,44,32,57.9,2.26,2.46,6.11,3.4,255.3,8.25,12.1,389.0,0.5920000000000001,0.16,0.212
2,Olaf,187,0.8270000000000001,102,85,20,43,42,50.6,3.27,2.49,4.96,3.3,184.59,5.99,10.8,350.0,0.6459999999999999,0.257,0.195
3,Gnar,186,0.823,89,97,20,51,46,52.6,2.06,2.63,5.26,2.78,257.86,8.24,12.2,389.0,0.5529999999999999,0.156,0.215
4,Zoe,175,0.774,129,46,13,21,25,45.7,3.33,1.91,5.04,4.38,249.15,7.95,11.9,380.0,0.6629999999999999,0.263,0.214
5,Alistar,173,0.765,64,109,20,53,56,48.6,0.79,3.18,8.42,2.89,34.06,1.09,7.2,232.0,0.7070000000000001,0.061,0.129
6,Camille,147,0.65,110,37,16,20,17,54.1,3.22,2.62,5.43,3.3,249.46,8.15,12.5,407.0,0.618,0.23,0.222
7,Gragas,145,0.642,62,83,35,52,31,62.7,1.47,2.53,6.94,3.32,134.01,4.29,9.2,295.0,0.606,0.106,0.161
8,Orianna,143,0.633,53,90,20,50,40,55.6,2.77,1.94,7.34,5.2,275.17,8.75,12.6,400.0,0.742,0.203,0.22
9,Samira,139,0.615,80,59,18,22,37,37.3,4.15,2.61,3.85,3.06,290.02,9.28,13.4,428.0,0.685,0.35600000000000004,0.243
10,Twisted Fate,130,0.575,98,32,13,17,15,53.1,2.25,2.41,7.75,4.16,253.25,8.07,12.9,412.0,0.713,0.16,0.223
11,Pantheon,127,0.562,94,33,17,23,10,69.7,4.0,2.18,5.55,4.38,186.7,5.91,11.4,361.0,0.644,0.27,0.19399999999999998
12,Udyr,126,0.5579999999999999,56,70,17,33,37,47.1,2.41,2.07,6.07,4.1,187.46,6.23,10.6,351.0,0.716,0.204,0.195
13,Nidalee,125,0.5529999999999999,94,31,14,20,11,64.5,3.48,1.84,6.03,5.18,215.06,6.69,12,374.0,0.664,0.243,0.201
14,Rell,123,0.544,47,76,20,44,32,57.9,0.78,3.49,8.75,2.73,33.45,1.12,7.1,237.0,0.669,0.055,0.129
15,Lillia,120,0.531,51,69,18,36,33,52.2,3.09,2.48,6.23,3.76,200.74,6.51,11.1,360.0,0.69,0.22899999999999998,0.198
16,Leona,114,0.504,44,70,20,35,35,50,0.64,3.43,7.34,2.33,39.27,1.25,7.3,235.0,0.623,0.05,0.129
17,Azir,114,0.504,53,61,16,35,26,57.4,2.61,2.13,5.46,3.78,289.28,9.21,12.8,407.0,0.6609999999999999,0.214,0.225
18,Thresh,113,0.5,60,53,19,24,29,45.3,0.43,3.26,7.89,2.55,35.4,1.12,7.2,227.0,0.711,0.037000000000000005,0.128
19,Syndra,113,0.5,60,53,17,13,40,24.5,2.34,2.75,4.06,2.32,260.26,8.33,11.5,369.0,0.64,0.23399999999999999,0.21600000000000003
20,Xayah,95,0.42,31,64,18,35,29,54.7,4.17,2.25,5.42,4.26,314.42,10.05,14.1,450.0,0.6729999999999999,0.293,0.24600000000000002
21,Jayce,91,0.40299999999999997,48,43,17,26,17,60.5,3.14,2.93,5.65,3,249.53,8.18,12.2,401.0,0.643,0.23,0.217
22,Graves,88,0.389,24,64,18,19,45,29.7,3.45,2.45,4.5,3.24,224.33,6.98,12,372.0,0.71,0.308,0.214
23,Aphelios,87,0.385,45,42,19,19,23,45.2,3.57,2.79,4.67,2.96,318.33,9.89,14.3,445.0,0.684,0.29600000000000004,0.251
24,Tristana,84,0.37200000000000005,31,53,18,32,21,60.4,3.87,2.08,4.79,4.17,290.04,9.67,13.6,452.0,0.639,0.28600000000000003,0.24600000000000002
25,Aatrox,79,0.35,33,46,16,20,26,43.5,2.26,2.41,4.37,2.75,252.46,8.03,11.8,375.0,0.57,0.19399999999999998,0.213
26,Galio,76,0.336,29,47,19,18,29,38.3,1.68,3.38,7.85,2.82,141.32,4.62,9.1,297.0,0.753,0.133,0.16899999999999998
27,Ornn,68,0.301,42,26,15,8,18,30.8,0.69,2.5,5.31,2.4,227.08,7.2,10.3,328.0,0.593,0.068,0.19
28,Lucian,62,0.27399999999999997,37,25,15,15,10,60,3.48,2.16,5.48,4.15,301.16,9.48,14.1,443.0,0.6890000000000001,0.268,0.239
29,Sett,58,0.257,29,29,16,15,14,51.7,1.24,3.52,7.41,2.46,66.03,2.16,7.8,254.0,0.615,0.08800000000000001,0.138
30,Taliyah,58,0.257,37,21,12,15,6,71.4,3.62,2.9,7.19,3.72,220.38,6.85,12.1,377.0,0.6779999999999999,0.22699999999999998,0.201
31,Akali,54,0.239,50,4,4,1,3,25,3.5,2.5,3,2.6,224.0,7.6,10.9,369.0,0.605,0.326,0.213
32,Seraphine,50,0.221,33,17,13,8,9,47.1,1.0,1.88,5.47,3.44,129.24,4.67,8.2,295.0,0.775,0.12,0.171
33,Viktor,45,0.19899999999999998,11,34,15,18,16,52.9,2.65,2.47,5.12,3.14,281.35,8.88,12.4,391.0,0.627,0.214,0.21899999999999997
34,Hecarim,43,0.19,13,30,12,9,21,30,2.93,3.43,6.27,2.68,188.6,5.96,10.8,342.0,0.74,0.23600000000000002,0.196
35,Gangplank,41,0.18100000000000002,20,21,10,15,6,71.4,3.24,2.19,5.62,4.04,261.57,8.88,13.4,454.0,0.639,0.23399999999999999,0.23399999999999999
36,Jhin,39,0.17300000000000001,7,32,14,13,19,40.6,3.28,1.84,4.06,3.98,277.31,9.04,12.6,411.0,0.6659999999999999,0.297,0.235
37,Sion,36,0.159,12,24,13,8,16,33.3,1.25,2.63,5.29,2.49,224.21,7.2,10.5,337.0,0.561,0.107,0.192
38,Rakan,28,0.124,14,14,7,9,5,64.3,0.5,2.14,11.07,5.4,29.29,0.96,7.4,243.0,0.7859999999999999,0.034,0.131
39,Vayne,27,0.11900000000000001,10,17,9,7,10,41.2,3.24,3.41,3.53,1.98,261.94,8.72,12.1,404.0,0.578,0.276,0.22899999999999998
40,Ryze,25,0.111,10,15,8,9,6,60,3.67,2.27,6.53,4.5,286.67,9.24,13.2,426.0,0.643,0.231,0.22699999999999998
41,Yone,25,0.111,17,8,5,4,4,50,3.0,2.63,3.75,2.57,223.38,8.13,10.4,379.0,0.486,0.21600000000000003,0.20800000000000002
42,Miss Fortune,24,0.106,7,17,11,8,9,47.1,3.06,1.71,4.76,4.59,320.0,9.87,13.9,428.0,0.672,0.263,0.242
43,Kalista,24,0.106,10,14,8,6,8,42.9,3.5,2.57,4,2.92,288.5,9.74,12.5,423.0,0.618,0.28800000000000003,0.239
44,Nautilus,23,0.102,6,17,14,4,13,23.5,0.71,3.76,6.59,1.94,37.29,1.18,7.1,222.0,0.6629999999999999,0.064,0.129
45,Irelia,20,0.08800000000000001,12,8,7,4,4,50,3.13,3.88,5.25,2.16,246.63,8.85,11.3,407.0,0.5539999999999999,0.207,0.218
46,Rumble,15,0.066,3,12,6,4,8,33.3,2.42,2.67,6.33,3.28,222.33,7.0,10.9,343.0,0.607,0.168,0.195
47,Sylas,13,0.057999999999999996,3,10,7,7,3,70,4.3,1.6,7.3,7.25,258.6,8.51,12.5,413.0,0.7120000000000001,0.264,0.222
48,Senna,13,0.057999999999999996,4,9,7,2,7,22.2,1.67,3.67,7.11,2.39,197.56,6.95,10.5,368.0,0.8490000000000001,0.161,0.21600000000000003
49,Ezreal,12,0.053,3,9,6,3,6,33.3,3.56,2.44,6.22,4,333.89,9.38,14.9,418.0,0.7390000000000001,0.26899999999999996,0.24100000000000002
50,Kennen,11,0.049,3,8,7,1,7,12.5,1.63,4.5,4.63,1.39,242.13,7.42,11.4,349.0,0.51,0.133,0.20199999999999999
51,Maokai,10,0.044000000000000004,2,8,5,4,4,50,1.0,3.5,6.75,2.21,40.0,1.14,7.8,221.0,0.569,0.073,0.127
52,Sejuani,10,0.044000000000000004,3,7,3,5,2,71.4,1.71,2.14,8.86,4.93,176.86,5.25,11.1,330.0,0.679,0.11,0.17800000000000002
53,Kindred,10,0.044000000000000004,5,5,4,1,4,20,2.4,3.0,4,2.13,168.2,5.89,9.5,333.0,0.78,0.293,0.19699999999999998
54,Karthus,9,0.04,2,7,5,5,2,71.4,4.29,5.0,9.29,2.71,221.0,7.1,12,387.0,0.725,0.22899999999999998,0.20600000000000002
55,Kayn,9,0.04,3,6,5,2,4,33.3,2.5,2.67,3.17,2.13,206.83,6.85,10.9,361.0,0.618,0.273,0.212
56,Malphite,9,0.04,6,3,3,0,3,0,0.67,3.33,5,1.7,215.67,6.3,10.5,306.0,0.654,0.077,0.191
57,Volibear,8,0.035,3,5,5,0,5,0,1.2,2.6,2.8,1.54,227.8,7.47,10,328.0,0.606,0.182,0.20800000000000002
58,Nocturne,7,0.031,1,6,5,3,3,50,1.83,3.5,8.67,3,215.83,7.46,10.5,362.0,0.6629999999999999,0.11599999999999999,0.198
59,Lee Sin,7,0.031,2,5,5,3,2,60,3.0,1.8,7.8,6,160.4,5.61,9.9,346.0,0.75,0.20800000000000002,0.18899999999999997
60,Wukong,7,0.031,2,5,5,1,4,20,1.4,4.6,4.2,1.22,214.4,6.88,10.3,331.0,0.5710000000000001,0.14300000000000002,0.19699999999999998
61,Varus,7,0.031,4,3,2,3,0,100,2.0,2.33,8.33,4.43,299.67,8.81,14.1,414.0,0.66,0.128,0.217
62,Elise,7,0.031,6,1,1,1,0,100,3.0,2.0,8,5.5,201.0,5.71,12.9,367.0,0.55,0.15,0.18899999999999997
63,Corki,6,0.027000000000000003,1,5,4,3,2,60,3.6,1.8,4.6,4.56,310.0,9.52,13.4,411.0,0.759,0.33299999999999996,0.22899999999999998
64,Cassiopeia,6,0.027000000000000003,2,4,4,3,1,75,4.75,1.5,7.5,8.17,244.75,8.65,12.3,433.0,0.628,0.244,0.22
65,LeBlanc,6,0.027000000000000003,2,4,4,1,3,25,2.75,2.5,2.25,2,268.75,7.66,12.5,357.0,0.667,0.36700000000000005,0.214
66,Kled,6,0.027000000000000003,3,3,1,3,0,100,2.67,2.0,9,5.83,261.33,8.67,13.1,434.0,0.625,0.14300000000000002,0.217
67,Skarner,5,0.022000000000000002,1,4,3,3,1,75,2.0,2.0,7.25,4.63,168.75,5.68,10.1,341.0,0.725,0.157,0.185
68,Dr. Mundo,5,0.022000000000000002,1,4,4,2,2,50,1.0,3.5,5.75,1.93,167.25,6.29,8.9,337.0,0.711,0.105,0.18600000000000003
69,Karma,4,0.018000000000000002,-,4,4,2,2,50,0.5,1.5,5.75,4.17,206.5,6.41,10.6,329.0,0.758,0.061,0.19
70,Shen,4,0.018000000000000002,-,4,3,2,2,50,1.25,2.75,7,3,91.75,2.96,8.3,267.0,0.6729999999999999,0.102,0.151
71,Jax,4,0.018000000000000002,-,4,3,1,3,25,2.25,3.0,3,1.75,253.0,8.18,12.1,391.0,0.40399999999999997,0.17300000000000001,0.21600000000000003
72,Quinn,4,0.018000000000000002,2,2,2,2,0,100,10.5,2.5,6,6.6,297.0,9.51,16.7,534.0,0.635,0.40399999999999997,0.257
73,Ekko,4,0.018000000000000002,2,2,1,0,2,0,4.0,1.5,2,4,260.0,8.93,12,412.0,0.8,0.5329999999999999,0.25
74,Zilean,4,0.018000000000000002,4,-,-,0,0,,,,,,,,,,,,
75,Jinx,3,0.013000000000000001,-,3,3,2,1,66.7,4.0,1.0,6,10,304.33,10.24,13.8,465.0,0.625,0.25,0.244
76,Sivir,3,0.013000000000000001,-,3,3,0,3,0,2.33,2.67,5,2.75,324.67,9.84,13.7,415.0,0.815,0.259,0.249
77,Tahm Kench,3,0.013000000000000001,-,3,3,0,3,0,0.0,3.33,4.67,1.4,113.67,4.18,6.9,255.0,0.667,0.0,0.158
78,Braum,3,0.013000000000000001,1,2,1,0,2,0,0.5,3.0,5,1.83,35.5,1.16,6.5,213.0,0.917,0.083,0.133
79,Jarvan IV,3,0.013000000000000001,1,2,2,0,2,0,0.5,4.0,5.5,1.5,95.5,2.91,8.2,249.0,0.857,0.071,0.151
80,Kassadin,2,0.009000000000000001,-,2,1,2,0,100,2.0,0.0,7,18,224.5,9.78,10.2,444.0,0.486,0.10800000000000001,0.203
81,Bard,2,0.009000000000000001,-,2,1,1,1,50,0.0,3.0,7.5,2.5,21.0,0.74,6.8,241.0,0.652,0.0,0.136
82,Trundle,2,0.009000000000000001,-,2,2,1,1,50,0.5,3.5,6.5,2,139.5,4.69,8.8,297.0,0.56,0.04,0.165
