,champion,games,prescence,bans,picks,byteam,wins,losses,winrate,kills,deaths,assists,kda,cs,cspm,gold,gpm,killpart,killshare,goldshare
0,Rell,51,0.9440000000000001,31,20,9,11,9,55,0.7,3.3,7.3,2.42,37.75,1.14,7.6,229.0,0.586,0.051,0.128
1,Seraphine,51,0.9440000000000001,40,11,8,7,4,63.6,1.64,1.45,7.27,6.13,105.82,3.77,8.5,303.0,0.76,0.14,0.168
2,Olaf,50,0.9259999999999999,28,22,10,11,11,50,3.95,2.14,5,4.19,170.23,5.78,10.3,350.0,0.679,0.3,0.198
3,Gnar,49,0.907,23,26,8,15,11,57.7,2.42,2.35,5.73,3.48,246.88,7.79,12.2,387.0,0.555,0.165,0.213
4,Udyr,48,0.889,28,20,10,8,12,40,2.15,2.85,4.8,2.44,174.65,5.7,10.1,329.0,0.632,0.195,0.192
5,Renekton,47,0.87,32,15,11,12,3,80,2.73,1.73,5.4,4.69,225.87,7.75,11.3,389.0,0.537,0.18100000000000002,0.20600000000000002
6,Azir,43,0.7959999999999999,23,20,9,9,11,45,3.15,2.55,4.5,3,268.9,8.34,12.5,388.0,0.648,0.267,0.22399999999999998
7,Kai'Sa,40,0.741,7,33,10,14,19,42.4,4.03,2.3,3.64,3.33,302.39,9.71,13.4,432.0,0.657,0.345,0.25
8,Lillia,40,0.741,22,18,9,8,10,44.4,3.0,2.39,6.11,3.81,204.5,6.06,11.4,339.0,0.726,0.239,0.195
9,Thresh,40,0.741,24,16,9,9,7,56.3,0.69,2.81,8.69,3.33,38.25,1.21,7.4,235.0,0.7609999999999999,0.055999999999999994,0.133
10,Taliyah,31,0.574,19,12,6,9,3,75,4.5,1.75,7.92,7.1,205.33,6.63,11.9,384.0,0.797,0.289,0.205
11,Alistar,29,0.537,16,13,7,7,6,53.8,1.0,3.08,9.77,3.5,33.77,1.07,7.4,232.0,0.7490000000000001,0.07,0.131
