,champion,games,prescence,bans,picks,byteam,wins,losses,winrate,kills,deaths,assists,kda,cs,cspm,gold,gpm,killpart,killshare,goldshare
0,Kai'Sa,65,0.929,23,42,11,24,18,57.1,4.81,2.19,4.6,4.29,284.86,9.16,13.7,441.0,0.6679999999999999,0.342,0.24600000000000002
1,Rell,56,0.8,24,32,10,15,17,46.9,0.81,4.0,8.44,2.31,34.34,1.1,7.2,232.0,0.7120000000000001,0.063,0.132
2,Seraphine,53,0.757,36,17,11,8,9,47.1,1.94,2.47,7.18,3.69,165.35,5.18,10.1,316.0,0.7709999999999999,0.16399999999999998,0.185
3,Olaf,52,0.743,25,27,9,14,13,51.9,3.52,2.67,6.41,3.72,186.78,5.72,11.3,347.0,0.698,0.247,0.198
4,Udyr,49,0.7,23,26,9,17,9,65.4,2.35,1.73,7.73,5.82,187.73,6.15,10.8,355.0,0.6990000000000001,0.163,0.19399999999999998
5,Lillia,49,0.7,24,25,10,15,10,60,2.16,2.56,7.32,3.7,198.6,6.26,10.6,335.0,0.718,0.16399999999999998,0.19
6,Thresh,49,0.7,33,16,9,10,6,62.5,0.38,2.75,8.75,3.32,34.75,1.12,7.2,231.0,0.695,0.028999999999999998,0.131
7,Camille,48,0.6859999999999999,41,7,7,4,3,57.1,3.71,2.86,3.43,2.5,217.29,7.95,11.2,410.0,0.515,0.268,0.223
8,Renekton,41,0.586,17,24,10,9,15,37.5,2.75,2.67,3.96,2.52,256.13,8.15,11.9,380.0,0.617,0.253,0.222
9,Gnar,39,0.557,19,20,10,11,9,55,1.4,2.8,5.95,2.63,256.55,7.78,12.2,370.0,0.602,0.115,0.21
10,Orianna,38,0.5429999999999999,13,25,10,13,12,52,2.76,2.32,7.52,4.43,276.84,8.5,12.5,384.0,0.72,0.193,0.217
11,Azir,35,0.5,18,17,8,6,11,35.3,3.41,2.41,4.65,3.34,298.82,9.16,13.3,408.0,0.7140000000000001,0.302,0.239
12,Aatrox,32,0.457,15,17,10,11,6,64.7,2.59,1.94,5.88,4.36,220.71,7.58,11,378.0,0.598,0.183,0.20800000000000002
13,Taliyah,32,0.457,26,6,4,3,3,50,3.67,3.17,4.17,2.47,188.5,6.18,10.8,354.0,0.723,0.33799999999999997,0.2
14,Zoe,31,0.44299999999999995,20,11,7,5,6,45.5,3.0,1.64,5.18,5,257.0,7.98,12.3,381.0,0.7090000000000001,0.26,0.222
15,Irelia,31,0.44299999999999995,25,6,4,3,3,50,3.17,2.33,4.83,3.43,275.83,8.58,13.2,411.0,0.615,0.244,0.235
16,Gragas,30,0.429,10,20,11,9,11,45,1.4,2.6,6.15,2.9,152.15,4.58,9.7,293.0,0.579,0.107,0.16899999999999998
17,Aphelios,30,0.429,14,16,7,7,9,43.8,3.94,2.38,4.13,3.39,298.81,9.38,13.5,425.0,0.721,0.35200000000000004,0.25
18,Pantheon,30,0.429,26,4,3,2,2,50,2.75,3.5,6.25,2.57,183.0,6.06,10.3,340.0,0.818,0.25,0.198
19,Syndra,27,0.386,9,18,10,7,11,38.9,3.0,2.94,3.83,2.32,271.33,8.33,12.4,380.0,0.631,0.27699999999999997,0.223
