,patch,winside,BB1,RB1,BB2,RB2,BB3,RB3,BP1,RP1,RP2,BP2,BP3,RP3,RB4,BB4,RB5,BB5,RP4,BP4,BP5,RP5
0,11.4,Blue,thresh,udyr,senna,rell,alistar,galio,leona,tristana,lillia,jhin,jhin,nautilus,renekton,kaisa,syndra,camille,gragas,azir,irelia,lucian
1,11.4,Red,renekton,tristana,camille,gnar,kaisa,senna,udyr,alistar,lillia,xayah,xayah,azir,zoe,jhin,orianna,draven,vayne,gragas,seraphine,irelia
2,11.4,Blue,camille,sion,aphelios,volibear,azir,lillia,udyr,senna,drmundo,kaisa,kaisa,ryze,renekton,aatrox,gnar,jayce,alistar,rakan,gragas,irelia
3,11.4,Red,rell,udyr,kaisa,azir,seraphine,senna,lillia,hecarim,jhin,thresh,thresh,nautilus,yone,orianna,irelia,gnar,zoe,sion,syndra,aatrox
4,11.4,Red,renekton,tristana,seraphine,lucian,camille,udyr,gnar,rell,orianna,alistar,alistar,sylas,ryze,graves,kaisa,jhin,hecarim,xayah,ahri,senna
5,11.4,Blue,jayce,udyr,orianna,olaf,thresh,kaisa,lillia,alistar,aphelios,tahmkench,tahmkench,gnar,camille,zoe,galio,syndra,taliyah,azir,tristana,irelia
6,11.4,Red,zoe,udyr,lillia,renekton,gnar,camille,rell,kaisa,alistar,seraphine,seraphine,nidalee,jhin,aatrox,lucian,orianna,tristana,aphelios,gragas,sion
7,11.4,Red,ryze,seraphine,tristana,udyr,thresh,jayce,senna,lucian,lillia,renekton,renekton,gnar,tahmkench,aphelios,sion,ezreal,jhin,nidalee,alistar,leona
8,11.4,Red,azir,udyr,tristana,rell,caitlyn,seraphine,kaisa,senna,tahmkench,graves,graves,lillia,volibear,irelia,gnar,camille,renekton,gragas,syndra,yone
9,11.4,Red,seraphine,camille,senna,udyr,alistar,rell,aphelios,kaisa,lillia,hecarim,hecarim,nautilus,aatrox,sion,gnar,malphite,ornn,gragas,syndra,azir
10,11.4,Red,aphelios,camille,senna,gnar,kaisa,rell,udyr,lillia,leona,ezreal,ezreal,sivir,alistar,lucian,aatrox,renekton,orianna,nautilus,irelia,volibear
11,11.4,Red,jayce,seraphine,olaf,lillia,alistar,udyr,rell,aphelios,thresh,kaisa,kaisa,leesin,camille,orianna,gragas,kennen,syndra,zoe,sion,gnar
12,11.4,Red,camille,udyr,lucian,olaf,twistedfate,seraphine,lillia,kaisa,rell,aphelios,aphelios,hecarim,azir,irelia,gnar,ekko,syndra,orianna,sion,aatrox
13,11.4,Red,thresh,senna,camille,gnar,udyr,zoe,kaisa,aphelios,azir,rell,rell,renekton,gangplank,nidalee,jayce,sejuani,braum,syndra,volibear,drmundo
14,11.4,Blue,kaisa,renekton,alistar,camille,galio,senna,seraphine,olaf,thresh,gnar,gnar,sylas,aphelios,orianna,leona,kalista,syndra,jhin,nautilus,sivir
15,11.4,Blue,seraphine,camille,udyr,jayce,rell,olaf,senna,aphelios,thresh,lillia,lillia,syndra,ekko,renekton,orianna,gragas,jarvaniv,azir,gnar,vladimir
16,11.4,Red,ryze,seraphine,hecarim,udyr,camille,rell,lillia,senna,olaf,caitlyn,caitlyn,gnar,lux,twistedfate,lucian,orianna,azir,thresh,zoe,nautilus
17,11.4,Red,renekton,udyr,galio,olaf,graves,seraphine,senna,camille,rell,nautilus,nautilus,sivir,gnar,twistedfate,ornn,orianna,hecarim,sejuani,fiora,ekko
18,11.4,Blue,azir,galio,thresh,udyr,senna,olaf,kaisa,rell,tristana,lillia,lillia,hecarim,syndra,xayah,yone,orianna,seraphine,gnar,twistedfate,sylas
19,11.4,Blue,jayce,udyr,gnar,senna,rell,kaisa,camille,renekton,lillia,thresh,thresh,seraphine,twistedfate,ezreal,ryze,tristana,jhin,jarvaniv,orianna,leona
20,11.4,Blue,kaisa,renekton,aphelios,camille,rell,seraphine,senna,jhin,udyr,gnar,gnar,jayce,sion,orianna,maokai,vayne,azir,galio,leona,bard
21,11.4,Red,galio,kaisa,orianna,seraphine,alistar,zoe,rell,aphelios,thresh,udyr,udyr,drmundo,syndra,gnar,renekton,camille,azir,corki,gragas,aatrox
22,11.3,Red,syndra,camille,orianna,olaf,jayce,udyr,kaisa,aphelios,lillia,skarner,skarner,gnar,irelia,thresh,rumble,azir,alistar,nautilus,gragas,viktor
23,11.3,Blue,senna,camille,olaf,lillia,graves,aphelios,udyr,kaisa,taliyah,seraphine,seraphine,rell,thresh,azir,janna,malphite,syndra,alistar,jax,sion
24,11.3,Blue,seraphine,udyr,kaisa,lillia,thresh,camille,senna,rell,graves,gnar,gnar,zoe,rakan,jayce,sion,ezreal,gangplank,syndra,alistar,jhin
25,11.3,Red,renekton,camille,olaf,udyr,alistar,orianna,lillia,thresh,hecarim,rell,rell,aphelios,azir,galio,jayce,syndra,zoe,irelia,gnar,sion
26,11.3,Red,camille,udyr,irelia,kaisa,senna,renekton,olaf,graves,zoe,rell,rell,gragas,gnar,alistar,jhin,aphelios,xayah,ryze,varus,leona
27,11.3,Blue,azir,camille,thresh,olaf,senna,zoe,udyr,orianna,graves,galio,galio,braum,samira,xayah,draven,aphelios,jhin,kaisa,gnar,ornn
28,11.3,Red,lillia,olaf,skarner,udyr,renekton,camille,nidalee,kaisa,graves,leona,leona,rell,aatrox,irelia,yone,syndra,zoe,lucian,rumble,sion
29,11.3,Blue,jayce,aphelios,orianna,olaf,camille,azir,kaisa,rell,udyr,skarner,skarner,xayah,renekton,gnar,syndra,ornn,gangplank,gragas,lucian,viktor
30,11.3,Blue,graves,kaisa,olaf,rell,renekton,camille,aphelios,udyr,kalista,orianna,orianna,blitzcrank,hecarim,azir,drmundo,syndra,yone,skarner,gragas,rumble
31,11.3,Blue,renekton,camille,gragas,udyr,rell,olaf,jayce,kaisa,leona,ezreal,ezreal,nidalee,hecarim,irelia,taliyah,yorick,sion,shyvana,aatrox,zoe
32,11.3,Blue,jayce,irelia,rell,yone,lillia,camille,udyr,leona,olaf,alistar,alistar,xayah,syndra,zoe,azir,orianna,viktor,ryze,gnar,gangplank
33,11.3,Red,zoe,camille,lillia,renekton,leona,olaf,graves,rell,udyr,orianna,orianna,azir,aatrox,kaisa,gnar,jayce,jhin,gragas,aphelios,kennen
34,11.3,Red,camille,olaf,lucian,udyr,kaisa,zoe,jhin,rell,ryze,nidalee,nidalee,aatrox,renekton,ezreal,azir,jarvaniv,graves,wukong,yone,xayah
35,11.3,Red,renekton,camille,galio,taliyah,rell,olaf,udyr,kaisa,orianna,thresh,thresh,graves,azir,leona,syndra,alistar,nautilus,viktor,ornn,gnar
36,11.3,Blue,zoe,renekton,lillia,udyr,kaisa,camille,graves,rell,azir,galio,galio,ezreal,aphelios,olaf,samira,jayce,skarner,gnar,sivir,gangplank
37,11.3,Blue,kaisa,olaf,leona,aphelios,renekton,udyr,camille,rell,gnar,alistar,alistar,azir,zoe,ezreal,leblanc,senna,xayah,jinx,galio,jarvaniv
38,11.3,Blue,rumble,camille,azir,jayce,yone,zoe,lillia,kaisa,hecarim,xayah,xayah,leona,rell,syndra,alistar,ornn,sett,gnar,nautilus,vladimir
39,11.3,Blue,jayce,twistedfate,graves,senna,camille,pantheon,kaisa,leona,xayah,udyr,udyr,drmundo,wukong,azir,zoe,irelia,gnar,gangplank,orianna,velkoz
40,11.2,Blue,irelia,camille,jayce,olaf,pantheon,orianna,udyr,renekton,taliyah,kaisa,kaisa,twistedfate,yone,xayah,sylas,aphelios,rell,leona,ryze,samira
41,11.2,Red,camille,zoe,renekton,olaf,lucian,gragas,pantheon,aphelios,udyr,rell,rell,orianna,volibear,jayce,kaisa,aatrox,thresh,samira,ornn,anivia
42,11.2,Red,gragas,olaf,renekton,camille,pantheon,rell,udyr,leona,graves,nautilus,nautilus,draven,irelia,twistedfate,orianna,malphite,zoe,syndra,jayce,chogath
43,11.2,Blue,seraphine,udyr,viktor,camille,pantheon,taliyah,olaf,lucian,leona,orianna,orianna,nidalee,aphelios,azir,senna,kaisa,galio,jhin,renekton,gnar
44,11.2,Blue,senna,olaf,twistedfate,taliyah,camille,pantheon,kaisa,udyr,rell,orianna,orianna,jhin,drmundo,wukong,jayce,azir,sylas,graves,gnar,quinn
45,11.2,Red,camille,olaf,jayce,pantheon,taliyah,renekton,udyr,rell,lillia,thresh,thresh,kaisa,yone,azir,twistedfate,aatrox,zoe,syndra,gragas,gnar
46,11.2,Red,leona,olaf,gnar,kaisa,pantheon,taliyah,graves,aphelios,udyr,rell,rell,alistar,samira,jayce,missfortune,renekton,aatrox,xayah,orianna,syndra
47,11.2,Red,camille,olaf,irelia,taliyah,orianna,pantheon,udyr,rell,kaisa,tahmkench,tahmkench,azir,zoe,lillia,viktor,ivern,drmundo,jayce,syndra,ornn
48,11.2,Red,volibear,camille,olaf,pantheon,gragas,seraphine,renekton,senna,udyr,orianna,orianna,azir,jhin,gangplank,kaisa,ornn,leona,aphelios,thresh,malphite
49,11.2,Blue,zoe,renekton,udyr,pantheon,nidalee,olaf,camille,jayce,elise,galio,galio,kaisa,aphelios,leona,senna,azir,rell,alistar,jhin,lucian
50,11.2,Blue,camille,taliyah,twistedfate,renekton,udyr,pantheon,olaf,kaisa,graves,orianna,orianna,galio,samira,aatrox,xayah,volibear,viktor,jhin,ornn,gnar
51,11.2,Blue,renekton,zoe,camille,olaf,hecarim,pantheon,taliyah,senna,maokai,leona,leona,nidalee,ezreal,irelia,aphelios,volibear,orianna,azir,missfortune,wukong
52,11.2,Blue,seraphine,olaf,sett,taliyah,orianna,pantheon,camille,renekton,galio,nidalee,nidalee,lillia,leona,aphelios,rell,xayah,samira,yone,alistar,azir
53,11.2,Blue,nidalee,yone,pantheon,olaf,senna,lillia,taliyah,samira,rell,camille,camille,twistedfate,irelia,leesin,sylas,hecarim,graves,janna,ryze,sett
54,11.2,Blue,hecarim,orianna,twistedfate,olaf,galio,pantheon,taliyah,aphelios,udyr,alistar,alistar,thresh,samira,gragas,kaisa,zoe,gnar,jhin,syndra,viktor
55,11.2,Blue,orianna,olaf,renekton,camille,graves,pantheon,kaisa,twistedfate,missfortune,leona,leona,aatrox,volibear,seraphine,gnar,galio,gragas,wukong,sylas,hecarim
56,11.2,Blue,taliyah,pantheon,seraphine,olaf,rell,akali,kaisa,xayah,graves,nidalee,nidalee,alistar,zoe,renekton,ekko,volibear,syndra,yone,camille,malphite
57,11.2,Blue,rell,olaf,camille,pantheon,akali,taliyah,graves,senna,gragas,aphelios,aphelios,azir,thresh,aatrox,gangplank,irelia,udyr,leona,jayce,galio
58,11.2,Red,jayce,senna,galio,renekton,olaf,pantheon,gragas,udyr,camille,alistar,alistar,twistedfate,kassadin,seraphine,azir,rell,rakan,orianna,kaisa,xayah
59,11.2,Red,elise,zoe,camille,olaf,aphelios,pantheon,taliyah,renekton,nidalee,twistedfate,twistedfate,galio,kaisa,rell,xayah,senna,jhin,samira,alistar,tahmkench
60,11.1,Blue,hecarim,akali,olaf,gangplank,pantheon,rell,taliyah,graves,syndra,galio,galio,renekton,aphelios,thresh,yone,alistar,leona,kaisa,orianna,tristana
61,11.1,Blue,zoe,renekton,galio,akali,orianna,pantheon,olaf,nautilus,graves,camille,camille,seraphine,samira,ekko,jhin,viktor,lucian,aphelios,rell,ornn
62,11.1,Red,jayce,taliyah,lucian,akali,olaf,pantheon,gragas,graves,aphelios,hecarim,hecarim,orianna,leblanc,gnar,syndra,aatrox,rumble,alistar,sylas,leona
63,11.1,Blue,kaisa,twistedfate,pantheon,olaf,galio,taliyah,camille,graves,missfortune,hecarim,hecarim,orianna,syndra,sett,akali,renekton,gangplank,ryze,leona,nautilus
64,11.1,Red,twistedfate,akali,camille,seraphine,olaf,pantheon,renekton,aphelios,thresh,rell,rell,gnar,nidalee,yone,taliyah,syndra,orianna,lillia,zoe,udyr
65,11.1,Blue,orianna,olaf,gangplank,pantheon,sett,samira,graves,nautilus,akali,kaisa,kaisa,kindred,renekton,aphelios,sylas,missfortune,camille,volibear,twistedfate,seraphine
66,11.1,Red,galio,zoe,lucian,akali,pantheon,olaf,taliyah,renekton,elise,twistedfate,twistedfate,alistar,leona,yone,rell,orianna,aphelios,kaisa,sett,viktor
67,11.1,Red,camille,taliyah,galio,akali,missfortune,pantheon,lillia,rell,ivern,thresh,thresh,yone,renekton,aatrox,irelia,gnar,jinx,volibear,leblanc,mordekaiser
68,11.1,Red,galio,akali,aphelios,pantheon,samira,olaf,kaisa,seraphine,missfortune,sett,sett,hecarim,twistedfate,aatrox,gragas,irelia,renekton,jayce,syndra,zoe
69,11.1,Blue,irelia,olaf,camille,pantheon,akali,graves,samira,lillia,orianna,kindred,kindred,renekton,gnar,kaisa,jayce,aphelios,missfortune,leona,gragas,alistar
70,11.1,Red,olaf,akali,pantheon,aphelios,leblanc,graves,taliyah,kaisa,galio,yone,yone,hecarim,leona,camille,tristana,volibear,malphite,ashe,nautilus,syndra
71,11.1,Red,jayce,samira,pantheon,olaf,lucian,akali,taliyah,orianna,graves,kaisa,kaisa,aphelios,syndra,thresh,viktor,kennen,gnar,zoe,galio,leona
72,11.1,Red,olaf,akali,lillia,pantheon,hecarim,camille,lucian,graves,kaisa,galio,galio,zoe,aphelios,aatrox,samira,gnar,sett,taliyah,jhin,gragas
73,11.1,Red,twistedfate,orianna,lucian,akali,pantheon,graves,renekton,kaisa,leona,aphelios,aphelios,nidalee,thresh,urgot,galio,volibear,gragas,sett,viktor,jayce
74,11.1,Blue,olaf,pantheon,jhin,lillia,camille,taliyah,akali,kaisa,graves,nidalee,nidalee,aatrox,renekton,alistar,urgot,leona,nautilus,galio,yone,leblanc
75,11.1,Blue,samira,syndra,camille,akali,aatrox,pantheon,olaf,galio,nidalee,jhin,jhin,yone,jayce,irelia,sett,lucian,gnar,leona,kennen,missfortune
76,11.1,Red,aphelios,renekton,pantheon,lucian,akali,camille,kaisa,jhin,taliyah,alistar,alistar,leona,leblanc,yone,aatrox,orianna,volibear,twistedfate,fiora,irelia
77,11.1,Red,camille,akali,pantheon,taliyah,lucian,missfortune,olaf,lillia,galio,orianna,orianna,aphelios,alistar,thresh,renekton,jayce,irelia,rell,riven,urgot
78,11.1,Red,aphelios,akali,galio,pantheon,volibear,kaisa,camille,renekton,samira,nidalee,nidalee,orianna,twistedfate,thresh,yone,sett,leona,jhin,viktor,taliyah
79,11.1,Red,aatrox,graves,galio,olaf,akali,pantheon,zoe,kaisa,leona,samira,samira,taliyah,hecarim,syndra,leesin,yone,twistedfate,kindred,sion,camille
