,patch,winside,BB1,RB1,BB2,RB2,BB3,RB3,BP1,RP1,RP2,BP2,BP3,RP3,RB4,BB4,RB5,BB5,RP4,BP4,BP5,RP5
0,11.3,Blue,gnar,thresh,gragas,seraphine,udyr,nidalee,rell,renekton,lillia,tristana,tristana,samira,ornn,galio,sion,alistar,nautilus,azir,kennen,lucian
1,11.3,Red,gragas,rell,aatrox,udyr,thresh,gnar,seraphine,renekton,nidalee,graves,graves,tristana,galio,sylas,ornn,alistar,leona,nautilus,sion,azir
2,11.3,Blue,seraphine,kalista,rell,renekton,lillia,udyr,nidalee,graves,syndra,aphelios,aphelios,kaisa,leona,jayce,sett,gangplank,nautilus,gnar,galio,irelia
3,11.3,Red,renekton,seraphine,kalista,rell,azir,lillia,udyr,nidalee,syndra,orianna,orianna,aphelios,jayce,nautilus,alistar,irelia,leona,gnar,gragas,camille
4,11.3,Red,seraphine,kalista,sett,renekton,rell,syndra,udyr,lillia,azir,zoe,zoe,samira,galio,gnar,camille,aatrox,nautilus,volibear,alistar,jayce
5,11.3,Red,udyr,thresh,senna,renekton,kaisa,lillia,rell,alistar,nidalee,samira,samira,xayah,orianna,azir,gnar,sion,seraphine,ryze,camille,gangplank
6,11.3,Red,renekton,udyr,thresh,rell,irelia,kaisa,seraphine,lucian,lillia,ezreal,ezreal,senna,azir,kalista,gragas,gnar,camille,sion,syndra,nautilus
7,11.3,Red,udyr,thresh,rell,renekton,kaisa,seraphine,lillia,senna,kayn,irelia,irelia,sion,kalista,azir,ezreal,nautilus,viktor,lucian,yuumi,maokai
8,11.3,Blue,seraphine,lucian,gnar,lillia,orianna,yone,udyr,aphelios,thresh,kaisa,kaisa,syndra,twistedfate,quinn,rell,drmundo,jayce,pyke,malphite,skarner
9,11.3,Red,yone,seraphine,lillia,udyr,rell,gnar,renekton,gragas,kaisa,orianna,orianna,lucian,xayah,taliyah,aphelios,skarner,karthus,senna,tahmkench,braum
10,11.3,Red,seraphine,renekton,gragas,rell,lillia,udyr,alistar,kaisa,galio,graves,graves,nidalee,azir,sion,viktor,orianna,syndra,zoe,gnar,irelia
11,11.3,Blue,samira,seraphine,azir,renekton,alistar,udyr,rell,kaisa,leona,tristana,tristana,kayn,orianna,gnar,sett,camille,syndra,gragas,sion,kled
12,11.3,Blue,lillia,renekton,thresh,kalista,seraphine,udyr,nidalee,sion,orianna,kaisa,kaisa,tristana,gnar,rakan,camille,rell,alistar,volibear,galio,skarner
13,11.3,Blue,renekton,seraphine,azir,thresh,kalista,udyr,lillia,nidalee,kaisa,tristana,tristana,syndra,galio,alistar,rell,gragas,leona,sion,rakan,gnar
14,11.3,Blue,seraphine,renekton,thresh,azir,lillia,kalista,udyr,orianna,olaf,syndra,syndra,tristana,camille,gragas,gangplank,rell,gnar,irelia,alistar,rakan
15,11.3,Red,senna,renekton,syndra,aphelios,graves,gnar,seraphine,rell,udyr,kaisa,kaisa,tristana,alistar,sion,camille,ornn,azir,hecarim,nautilus,aatrox
16,11.3,Blue,renekton,senna,aphelios,seraphine,irelia,rell,kaisa,graves,alistar,syndra,syndra,samira,galio,azir,gragas,ornn,gnar,sion,rakan,orianna
17,11.3,Blue,azir,irelia,kaisa,syndra,rell,udyr,renekton,nidalee,thresh,lucian,lucian,aphelios,samira,sion,ezreal,viktor,orianna,kalista,neeko,aatrox
18,11.3,Red,irelia,rell,gnar,kaisa,syndra,udyr,nidalee,renekton,lillia,alistar,alistar,lucian,azir,kalista,sion,aphelios,galio,aatrox,viktor,ezreal
19,11.3,Blue,rell,irelia,gnar,aphelios,seraphine,renekton,kaisa,udyr,samira,alistar,alistar,nautilus,yone,camille,aatrox,azir,gragas,sion,zoe,orianna
20,11.3,Red,irelia,rell,renekton,seraphine,nidalee,gnar,kaisa,thresh,aphelios,azir,azir,syndra,aatrox,olaf,nautilus,ornn,gragas,alistar,camille,graves
21,11.3,Red,udyr,rell,kindred,seraphine,volibear,samira,gragas,aphelios,thresh,renekton,renekton,gnar,taliyah,azir,nidalee,lillia,drmundo,olaf,viktor,syndra
22,11.3,Blue,gragas,udyr,rell,seraphine,taliyah,aphelios,nidalee,kaisa,renekton,volibear,volibear,kindred,thresh,nautilus,rakan,twistedfate,galio,alistar,syndra,viktor
23,11.3,Blue,udyr,gragas,kindred,rell,aphelios,seraphine,renekton,kaisa,nidalee,samira,samira,volibear,nautilus,lucian,galio,alistar,leona,rakan,orianna,syndra
24,11.3,Red,rell,alistar,kayn,lucian,graves,seraphine,kaisa,udyr,senna,renekton,renekton,sion,gragas,morgana,yone,syndra,azir,nautilus,tristana,heimerdinger
25,11.3,Blue,lucian,rell,samira,kaisa,udyr,kayn,seraphine,olaf,gragas,ezreal,ezreal,sivir,syndra,twistedfate,alistar,azir,zoe,viktor,sion,sett
26,11.3,Blue,rell,udyr,kayn,seraphine,syndra,alistar,kaisa,kalista,gragas,nautilus,nautilus,graves,yone,azir,twistedfate,viktor,orianna,renekton,lucian,sion
27,11.3,Blue,thresh,kalista,sett,rell,olaf,udyr,renekton,gragas,graves,azir,azir,samira,kaisa,galio,ezreal,alistar,leona,nautilus,xayah,syndra
28,11.3,Red,kalista,thresh,renekton,sett,udyr,olaf,rell,kaisa,nidalee,samira,samira,alistar,jayce,syndra,galio,camille,gnar,cassiopeia,azir,zoe
29,11.3,Red,samira,udyr,thresh,seraphine,nidalee,kaisa,rell,alistar,azir,lillia,lillia,xayah,gnar,hecarim,sion,renekton,kayn,orianna,aatrox,gragas
30,11.3,Blue,gragas,samira,lillia,thresh,seraphine,jayce,kaisa,rell,udyr,alistar,alistar,orianna,syndra,kalista,viktor,tristana,gnar,azir,gangplank,aphelios
31,11.3,Blue,twistedfate,syndra,aphelios,gnar,azir,samira,seraphine,rell,kaisa,xayah,xayah,olaf,rakan,kennen,volibear,sylas,renekton,thresh,jayce,orianna
32,11.3,Blue,syndra,twistedfate,gnar,aphelios,alistar,seraphine,olaf,kaisa,gragas,azir,azir,kindred,tristana,zoe,kalista,volibear,viktor,samira,renekton,leona
33,11.3,Blue,twistedfate,syndra,aphelios,rell,irelia,seraphine,kaisa,gnar,olaf,jayce,jayce,orianna,viktor,kalista,lulu,gragas,xayah,alistar,zoe,rakan
34,11.3,Blue,gnar,kalista,seraphine,rell,olaf,udyr,renekton,gragas,kaisa,azir,azir,quinn,aphelios,twistedfate,nautilus,taliyah,lillia,ezreal,galio,sett
35,11.3,Red,udyr,seraphine,lillia,gnar,kalista,olaf,rell,kaisa,renekton,graves,graves,nidalee,twistedfate,galio,gragas,alistar,leona,mordekaiser,viktor,azir
36,11.3,Red,olaf,nidalee,yone,graves,udyr,lillia,rell,kaisa,renekton,gragas,gragas,alistar,kindred,taliyah,hecarim,orianna,skarner,syndra,trundle,viktor
37,11.3,Blue,nidalee,rell,graves,udyr,aphelios,olaf,kaisa,samira,lillia,renekton,renekton,alistar,yone,gnar,irelia,azir,sion,gragas,galio,sett
38,11.3,Blue,olaf,nidalee,yone,graves,udyr,seraphine,rell,aphelios,thresh,samira,samira,skarner,pantheon,orianna,jayce,gnar,renekton,gragas,sett,azir
39,11.3,Red,seraphine,nidalee,gragas,samira,thresh,rell,udyr,gnar,orianna,kaisa,kaisa,lillia,jayce,tristana,camille,aphelios,kalista,gangplank,alistar,rakan
40,11.3,Blue,nidalee,seraphine,samira,gragas,gnar,thresh,udyr,rell,kaisa,alistar,alistar,olaf,orianna,renekton,syndra,azir,camille,zoe,pantheon,twistedfate
41,11.3,Red,gragas,udyr,graves,seraphine,kayn,thresh,rell,kaisa,nidalee,samira,samira,alistar,yone,sion,azir,ornn,syndra,viktor,jayce,wukong
42,11.3,Blue,thresh,gragas,seraphine,udyr,irelia,graves,rell,samira,lillia,kalista,kalista,alistar,sion,yone,zoe,azir,viktor,ornn,syndra,camille
43,11.3,Blue,gragas,udyr,graves,seraphine,rell,alistar,lillia,kaisa,kayn,thresh,thresh,jarvaniv,yone,ornn,azir,sion,syndra,viktor,gnar,gangplank
44,11.2,Red,taliyah,gnar,pantheon,aphelios,alistar,seraphine,rell,gragas,kalista,olaf,olaf,graves,orianna,aatrox,irelia,zoe,syndra,viktor,ornn,sion
45,11.2,Blue,aphelios,taliyah,gnar,seraphine,irelia,alistar,rell,xayah,thresh,kaisa,kaisa,syndra,orianna,olaf,zoe,udyr,drmundo,viktor,ornn,volibear
46,11.2,Blue,gragas,taliyah,alistar,gnar,thresh,olaf,rell,udyr,rakan,nidalee,nidalee,samira,quinn,ornn,volibear,renekton,wukong,camille,azir,viktor
47,11.2,Red,taliyah,gragas,seraphine,alistar,udyr,thresh,olaf,rell,kaisa,rakan,rakan,nidalee,twistedfate,renekton,galio,jayce,gnar,gangplank,azir,zoe
48,11.2,Blue,pantheon,udyr,lulu,olaf,taliyah,seraphine,rell,alistar,gnar,samira,samira,kaisa,azir,graves,jayce,hecarim,nidalee,irelia,viktor,sett
49,11.2,Blue,udyr,taliyah,azir,seraphine,thresh,olaf,pantheon,rell,lillia,aphelios,aphelios,samira,gragas,yone,karthus,orianna,gnar,syndra,camille,viktor
50,11.2,Blue,gragas,udyr,seraphine,olaf,graves,thresh,taliyah,gnar,pantheon,rell,rell,xayah,renekton,rakan,azir,orianna,lulu,gangplank,syndra,karthus
51,11.2,Red,samira,taliyah,aphelios,olaf,gnar,rell,seraphine,kaisa,orianna,xayah,xayah,pantheon,ornn,jayce,rakan,udyr,renekton,gragas,alistar,nautilus
52,11.2,Blue,nidalee,samira,seraphine,azir,olaf,gnar,taliyah,kaisa,rell,thresh,thresh,udyr,renekton,ornn,camille,malphite,syndra,jayce,sett,sion
53,11.2,Red,kalista,thresh,renekton,taliyah,camille,olaf,kaisa,rell,udyr,rakan,rakan,aphelios,sett,syndra,nocturne,azir,orianna,viktor,gnar,pantheon
54,11.2,Blue,thresh,kalista,samira,renekton,rell,taliyah,olaf,kaisa,azir,aphelios,aphelios,seraphine,sett,udyr,leona,sion,kindred,nautilus,camille,gragas
55,11.2,Blue,olaf,seraphine,pantheon,syndra,udyr,taliyah,kaisa,rell,nidalee,alistar,alistar,samira,zoe,gnar,twistedfate,orianna,azir,ryze,sion,renekton
56,11.2,Red,seraphine,taliyah,senna,olaf,gragas,renekton,kaisa,xayah,pantheon,gnar,gnar,syndra,orianna,gangplank,alistar,sion,rell,nautilus,azir,fizz
57,11.2,Blue,samira,taliyah,gnar,lillia,udyr,kaisa,olaf,aphelios,thresh,kalista,kalista,pantheon,gragas,renekton,ornn,gangplank,orianna,rell,sion,karma
58,11.2,Blue,gragas,taliyah,olaf,gnar,lillia,pantheon,udyr,kaisa,orianna,rell,rell,graves,viktor,alistar,azir,ornn,rakan,renekton,zoe,sion
59,11.2,Blue,samira,taliyah,gnar,olaf,azir,lillia,kaisa,seraphine,udyr,orianna,orianna,xayah,gragas,viktor,alistar,thresh,rell,ornn,rakan,aatrox
60,11.2,Blue,seraphine,olaf,gnar,rell,taliyah,xayah,kaisa,pantheon,samira,gragas,gragas,renekton,ornn,lillia,azir,nautilus,rakan,alistar,orianna,syndra
61,11.2,Blue,azir,seraphine,udyr,olaf,rell,renekton,taliyah,pantheon,camille,kaisa,kaisa,twistedfate,alistar,xayah,sett,samira,kogmaw,shen,gragas,thresh
62,11.2,Blue,seraphine,taliyah,graves,pantheon,gnar,aphelios,olaf,kaisa,lillia,rell,rell,alistar,yone,sylas,azir,quinn,orianna,renekton,viktor,ornn
63,11.2,Red,rell,kalista,udyr,taliyah,gnar,seraphine,kaisa,aphelios,thresh,renekton,renekton,volibear,yone,lillia,jarvaniv,drmundo,olaf,orianna,sett,syndra
64,11.2,Red,kalista,rell,yone,seraphine,taliyah,udyr,kaisa,renekton,nidalee,syndra,syndra,orianna,lillia,jarvaniv,olaf,xayah,aphelios,drmundo,sett,leona
65,11.2,Red,gnar,kalista,rell,taliyah,seraphine,yone,kaisa,xayah,udyr,renekton,renekton,syndra,nidalee,gangplank,lillia,thresh,volibear,olaf,jarvaniv,rakan
66,11.2,Blue,nidalee,taliyah,rell,gnar,renekton,azir,orianna,kaisa,udyr,leona,leona,seraphine,samira,viktor,kalista,aatrox,syndra,gragas,vayne,ornn
67,11.2,Blue,kalista,taliyah,gnar,olaf,azir,orianna,kaisa,udyr,twistedfate,renekton,renekton,xayah,leona,quinn,pantheon,rakan,jayce,rell,sett,thresh
68,11.2,Blue,orianna,twistedfate,samira,aphelios,olaf,taliyah,kaisa,xayah,udyr,azir,azir,thresh,pantheon,jayce,jarvaniv,zoe,renekton,lillia,leona,viktor
69,11.2,Red,aphelios,taliyah,graves,lillia,olaf,samira,kaisa,xayah,orianna,hecarim,hecarim,thresh,seraphine,nidalee,gnar,gragas,kindred,alistar,ornn,aatrox
70,11.2,Blue,gnar,kaisa,lillia,gragas,samira,taliyah,olaf,azir,senna,thresh,thresh,graves,syndra,seraphine,zoe,gangplank,tahmkench,ornn,orianna,aatrox
71,11.2,Red,seraphine,kalista,orianna,taliyah,gnar,udyr,olaf,graves,syndra,zoe,zoe,samira,alistar,ornn,camille,renekton,gragas,pantheon,akali,nautilus
72,11.2,Blue,camille,seraphine,kalista,taliyah,udyr,samira,olaf,kaisa,syndra,orianna,orianna,jarvaniv,rakan,gnar,ornn,galio,gragas,thresh,renekton,pyke
73,11.2,Blue,gnar,kalista,samira,camille,taliyah,renekton,kaisa,olaf,xayah,azir,azir,twistedfate,sett,gangplank,gragas,jayce,rakan,ornn,jarvaniv,aatrox
74,11.2,Red,kalista,taliyah,renekton,gnar,camille,kaisa,samira,olaf,xayah,orianna,orianna,azir,rell,sett,alistar,rakan,leona,galio,aatrox,akali
75,11.2,Red,udyr,olaf,kaisa,pantheon,orianna,taliyah,lillia,samira,gnar,lucian,lucian,viktor,ornn,hecarim,thresh,graves,kindred,gragas,alistar,galio
76,11.2,Red,olaf,udyr,pantheon,kaisa,hecarim,gnar,samira,taliyah,kalista,rell,rell,lucian,lillia,thresh,nocturne,ornn,gragas,graves,aatrox,alistar
77,11.2,Red,udyr,olaf,kaisa,pantheon,azir,camille,taliyah,aphelios,thresh,seraphine,seraphine,orianna,kalista,graves,missfortune,kindred,lillia,ashe,gragas,gnar
78,11.2,Red,graves,twistedfate,gnar,taliyah,quinn,kalista,pantheon,kaisa,udyr,renekton,renekton,seraphine,rumble,gangplank,gragas,syndra,sion,azir,vayne,zoe
79,11.2,Blue,lillia,graves,camille,gnar,taliyah,pantheon,kaisa,renekton,udyr,alistar,alistar,twistedfate,azir,kalista,lucian,xayah,senna,syndra,quinn,gragas
80,11.2,Blue,azir,seraphine,aphelios,taliyah,graves,renekton,olaf,orianna,kaisa,samira,samira,rell,rakan,jayce,alistar,lillia,udyr,gnar,nautilus,gangplank
81,11.2,Red,seraphine,aphelios,renekton,taliyah,camille,syndra,kaisa,olaf,orianna,graves,graves,samira,viktor,rell,rumble,gnar,rakan,gragas,azir,sylas
82,11.2,Red,samira,taliyah,xayah,olaf,renekton,kaisa,pantheon,kalista,orianna,gnar,gnar,udyr,alistar,camille,leona,gangplank,irelia,jhin,tahmkench,neeko
83,11.2,Blue,alistar,renekton,lillia,irelia,olaf,yone,taliyah,kaisa,udyr,orianna,orianna,gnar,samira,azir,aphelios,seraphine,viktor,leona,xayah,rakan
84,11.2,Blue,graves,renekton,aphelios,pantheon,olaf,azir,kaisa,lillia,samira,viktor,viktor,orianna,gragas,rell,gnar,camille,sett,alistar,aatrox,jayce
85,11.2,Red,renekton,olaf,lucian,kaisa,pantheon,taliyah,lillia,azir,hecarim,nocturne,nocturne,samira,gragas,rell,galio,alistar,leona,sett,rumble,gnar
