,patch,winside,BB1,RB1,BB2,RB2,BB3,RB3,BP1,RP1,RP2,BP2,BP3,RP3,RB4,BB4,RB5,BB5,RP4,BP4,BP5,RP5
0,11.4,Blue,orianna,udyr,lillia,rell,nidalee,gnar,seraphine,kaisa,nautilus,hecarim,hecarim,olaf,jinx,ryze,xayah,renekton,camille,aphelios,shen,azir
1,11.4,Red,azir,aatrox,gnar,thresh,senna,wukong,kaisa,seraphine,udyr,rell,rell,alistar,galio,sylas,viktor,lucian,tristana,ziggs,volibear,sion
2,11.4,Blue,camille,thresh,jhin,seraphine,wukong,yone,udyr,kaisa,gnar,jayce,jayce,olaf,vayne,leona,xayah,rell,syndra,senna,braum,lulu
3,11.4,Red,twistedfate,rell,udyr,camille,kaisa,seraphine,gnar,lillia,aphelios,thresh,thresh,nautilus,jhin,sion,xayah,yone,ornn,ashe,orianna,azir
4,11.4,Blue,wukong,thresh,camille,twistedfate,udyr,senna,seraphine,rell,kaisa,hecarim,hecarim,olaf,vayne,orianna,alistar,syndra,chogath,xayah,leona,azir
5,11.4,Red,renekton,udyr,thresh,seraphine,yone,kaisa,senna,gnar,rell,nautilus,nautilus,lillia,hecarim,tristana,azir,lucian,orianna,syndra,olaf,xayah
6,11.4,Red,aatrox,lucian,udyr,viktor,thresh,hecarim,rell,alistar,kaisa,jhin,jhin,lillia,azir,wukong,camille,tristana,ziggs,gnar,orianna,renekton
7,11.4,Red,gnar,seraphine,lillia,thresh,udyr,twistedfate,olaf,graves,rell,alistar,alistar,xayah,azir,gangplank,sion,jayce,orianna,mordekaiser,yone,darius
8,11.4,Blue,blitzcrank,seraphine,ezreal,udyr,thresh,senna,kaisa,rell,xayah,hecarim,hecarim,lillia,gnar,yone,camille,irelia,sion,sett,viktor,orianna
9,11.4,Blue,camille,udyr,thresh,seraphine,twistedfate,orianna,gnar,senna,hecarim,ezreal,ezreal,tahmkench,karma,jayce,bard,kennen,sion,viktor,rell,corki
10,11.4,Blue,kaisa,udyr,skarner,gnar,thresh,camille,rell,gragas,xayah,jhin,jhin,hecarim,yone,alistar,lucian,orianna,shen,aatrox,ryze,kogmaw
