,patch,winside,BB1,RB1,BB2,RB2,BB3,RB3,BP1,RP1,RP2,BP2,BP3,RP3,RB4,BB4,RB5,BB5,RP4,BP4,BP5,RP5
0,11.5,Red,katarina,seraphine,elise,udyr,thresh,gragas,hecarim,lillia,rell,rakan,rakan,kaisa,zoe,yone,orianna,tristana,gnar,cassiopeia,gangplank,yasuo
1,11.5,Red,kaisa,udyr,thresh,seraphine,tristana,camille,lillia,hecarim,xayah,lucian,lucian,syndra,gnar,lulu,vayne,karma,rakan,gangplank,ezreal,ornn
2,11.5,Blue,fiddlesticks,udyr,karthus,gragas,karma,thresh,seraphine,rakan,ahri,kaisa,kaisa,camille,renekton,xayah,sion,tristana,sivir,ornn,ekko,nunu
3,11.5,Red,thresh,seraphine,gragas,irelia,tristana,heimerdinger,udyr,gnar,lillia,camille,camille,aphelios,galio,rakan,orianna,syndra,azir,zoe,alistar,taric
4,11.5,Red,katarina,udyr,yone,camille,azir,hecarim,seraphine,thresh,lillia,tristana,tristana,lucian,gnar,shen,sion,kaisa,aphelios,renekton,ahri,sylas
5,11.5,Red,olaf,seraphine,gragas,udyr,thresh,nocturne,rakan,tristana,lillia,xayah,xayah,gnar,irelia,azir,camille,rell,alistar,sylas,syndra,orianna
6,11.5,Blue,karma,thresh,tristana,hecarim,xayah,ornn,seraphine,lillia,aphelios,kaisa,kaisa,gragas,drmundo,lulu,sion,yone,orianna,viktor,gnar,wukong
7,11.4,Blue,fiddlesticks,udyr,camille,gragas,thresh,rell,seraphine,hecarim,karma,tristana,tristana,ahri,heimerdinger,sivir,syndra,kaisa,jhin,galio,sion,gnar
8,11.4,Blue,qiyana,udyr,jarvaniv,syndra,seraphine,olaf,thresh,rell,kaisa,gragas,gragas,jayce,orianna,nidalee,azir,khazix,galio,lucian,lillia,kindred
9,11.4,Red,thresh,udyr,tristana,seraphine,syndra,lillia,rell,kaisa,alistar,galio,galio,viktor,vayne,ornn,xayah,kindred,sion,jarvaniv,jinx,hecarim
10,11.4,Red,kaisa,udyr,renekton,seraphine,thresh,gragas,rell,xayah,rakan,camille,camille,graves,galio,volibear,fiddlesticks,mordekaiser,lulu,zoe,jarvaniv,syndra
11,11.4,Red,aphelios,udyr,tristana,viego,thresh,seraphine,rell,kaisa,alistar,jinx,jinx,syndra,yone,irelia,zoe,gangplank,ornn,orianna,kayn,skarner
12,11.4,Red,yone,udyr,yasuo,hecarim,olaf,seraphine,thresh,alistar,gnar,jinx,jinx,zoe,nunu,jarvaniv,reksai,kindred,jhin,sion,karthus,drmundo
13,11.4,Red,alistar,katarina,syndra,seraphine,thresh,udyr,rell,gragas,olaf,kaisa,kaisa,xayah,jarvaniv,rakan,elise,gnar,orianna,azir,yone,camille
14,11.4,Red,camille,thresh,twistedfate,olaf,seraphine,udyr,hecarim,lillia,galio,rell,rell,alistar,orianna,irelia,azir,jayce,gnar,syndra,xayah,vayne
15,11.4,Blue,thresh,udyr,camille,olaf,hecarim,yone,lillia,seraphine,jinx,gragas,gragas,fiddlesticks,rakan,gnar,tristana,ornn,alistar,lucian,jarvaniv,nocturne
16,11.4,Red,aphelios,udyr,sion,yone,gragas,viego,seraphine,tristana,rell,thresh,thresh,kaisa,xayah,ornn,jinx,lillia,irelia,katarina,jarvaniv,shyvana
17,11.4,Blue,yone,udyr,zoe,syndra,seraphine,orianna,thresh,gragas,senna,olaf,olaf,lillia,aphelios,yasuo,sivir,gnar,tahmkench,jinx,azir,talon
18,11.4,Red,nocturne,seraphine,yone,udyr,tristana,galio,rell,viego,alistar,camille,camille,renekton,ahri,karthus,orianna,anivia,syndra,twistedfate,kaisa,heimerdinger
19,11.4,Red,none,udyr,none,viego,seraphine,graves,thresh,xayah,orianna,aphelios,aphelios,rakan,azir,kindred,syndra,kayn,gnar,viktor,leesin,jarvaniv
20,11.4,Red,thresh,viego,olaf,seraphine,gragas,udyr,rell,lillia,gnar,kayn,kayn,yone,orianna,kaisa,zoe,xayah,alistar,heimerdinger,anivia,sivir
21,11.4,Blue,yone,seraphine,zoe,camille,olaf,udyr,lillia,gragas,senna,twistedfate,twistedfate,yasuo,janna,karthus,thresh,malphite,jarvaniv,rell,gnar,gangplank
22,11.4,Red,irelia,viego,hecarim,udyr,lissandra,katarina,elise,thresh,karthus,nautilus,nautilus,camille,gragas,seraphine,renekton,galio,sivir,shen,kaisa,ahri
23,11.4,Blue,zoe,udyr,lucian,gragas,renekton,viego,olaf,graves,kaisa,syndra,syndra,orianna,irelia,ornn,camille,gnar,chogath,volibear,rakan,bard
24,11.4,Blue,seraphine,udyr,karthus,gragas,irelia,camille,lillia,thresh,karma,nautilus,nautilus,hecarim,kaisa,senna,missfortune,xayah,gnar,jayce,jhin,sivir
25,11.4,Blue,elise,viego,katarina,rell,yone,seraphine,udyr,senna,tahmkench,ezreal,ezreal,lillia,orianna,lucian,syndra,zed,tristana,zoe,gnar,azir
26,11.4,Blue,zoe,udyr,yone,gragas,azir,tristana,viego,orianna,olaf,aphelios,aphelios,nautilus,syndra,kaisa,ekko,irelia,xayah,viktor,ornn,malphite
