,patch,winside,BB1,RB1,BB2,RB2,BB3,RB3,BP1,RP1,RP2,BP2,BP3,RP3,RB4,BB4,RB5,BB5,RP4,BP4,BP5,RP5
0,11.4,Red,rell,udyr,seraphine,lucian,lillia,hecarim,olaf,nidalee,tristana,syndra,syndra,azir,thresh,renekton,shen,camille,nautilus,senna,tahmkench,aatrox
1,11.4,Red,irelia,udyr,kalista,rell,seraphine,renekton,tristana,lucian,lillia,nautilus,nautilus,leona,azir,ezreal,orianna,sion,xayah,syndra,gangplank,chogath
2,11.4,Blue,olaf,rell,senna,udyr,seraphine,pantheon,kaisa,caitlyn,lillia,renekton,renekton,morgana,syndra,tristana,orianna,gragas,gnar,azir,nautilus,viktor
3,11.4,Red,azir,udyr,tristana,olaf,seraphine,senna,hecarim,kalista,skarner,renekton,renekton,gnar,kaisa,thresh,xayah,zoe,viktor,jinx,rell,alistar
4,11.4,Blue,seraphine,renekton,lillia,gnar,udyr,olaf,hecarim,kaisa,skarner,rell,rell,rakan,gragas,irelia,azir,gangplank,orianna,shen,sylas,pantheon
5,11.4,Red,thresh,udyr,senna,seraphine,hecarim,olaf,rell,lillia,alistar,lucian,lucian,kaisa,nidalee,viktor,gragas,aatrox,yone,morgana,sion,shen
6,11.4,Red,seraphine,udyr,tristana,olaf,lillia,renekton,kaisa,rell,hecarim,alistar,alistar,azir,ryze,xayah,syndra,irelia,vayne,gnar,orianna,camille
7,11.4,Red,renekton,alistar,hecarim,udyr,lillia,olaf,gragas,rell,tristana,caitlyn,caitlyn,skarner,irelia,camille,karma,seraphine,gnar,azir,gangplank,orianna
8,11.4,Red,kaisa,udyr,syndra,renekton,rell,senna,azir,olaf,seraphine,gnar,gnar,jayce,aphelios,viktor,gragas,twistedfate,tristana,kalista,thresh,alistar
9,11.4,Blue,tristana,seraphine,twistedfate,renekton,olaf,azir,udyr,lucian,lillia,kaisa,kaisa,gragas,gnar,kalista,rell,xayah,senna,nautilus,aatrox,tahmkench
