,patch,winside,BB1,RB1,BB2,RB2,BB3,RB3,BP1,RP1,RP2,BP2,BP3,RP3,RB4,BB4,RB5,BB5,RP4,BP4,BP5,RP5
0,11.4,Blue,gnar,rell,skarner,seraphine,lillia,camille,thresh,udyr,alistar,aphelios,aphelios,kaisa,ziggs,orianna,heimerdinger,zoe,syndra,neeko,sion,aatrox
1,11.4,Blue,thresh,senna,sett,gnar,gragas,lucian,rell,udyr,alistar,seraphine,seraphine,twistedfate,jinx,darius,tristana,camille,kaisa,ornn,xayah,sion
2,11.4,Red,seraphine,jinx,olaf,gnar,hecarim,senna,udyr,rell,graves,leona,leona,twistedfate,nocturne,darius,irelia,camille,kaisa,azir,ornn,gragas
3,11.4,Blue,gnar,seraphine,nocturne,olaf,renekton,udyr,rell,thresh,jinx,hecarim,hecarim,azir,heimerdinger,kindred,zilean,lillia,nunu,ziggs,gragas,sion
4,11.4,Red,gragas,udyr,olaf,seraphine,nidalee,skarner,rell,thresh,hecarim,volibear,volibear,aphelios,zilean,camille,sylas,galio,azir,gnar,corki,malphite
5,11.4,Red,senna,olaf,seraphine,udyr,thresh,rell,tristana,jinx,hecarim,gnar,gnar,galio,skarner,zilean,nocturne,camille,sylas,azir,drmundo,corki
6,11.4,Red,twistedfate,tristana,renekton,thresh,gragas,seraphine,udyr,rell,lucian,tahmkench,tahmkench,lillia,camille,missfortune,orianna,kaisa,xayah,gnar,viktor,wukong
7,11.4,Blue,ezreal,lucian,tristana,twistedfate,udyr,karthus,thresh,kaisa,rell,aphelios,aphelios,hecarim,xinzhao,jayce,olaf,galio,wukong,graves,azir,viktor
8,11.3,Blue,senna,gnar,seraphine,lucian,olaf,twistedfate,udyr,kaisa,graves,thresh,thresh,gragas,renekton,rell,sion,blitzcrank,alistar,volibear,viktor,azir
9,11.3,Blue,twistedfate,gnar,seraphine,senna,darius,udyr,thresh,graves,azir,renekton,renekton,gragas,syndra,rell,taliyah,kaisa,ezreal,nidalee,zoe,karma
10,11.3,Blue,thresh,twistedfate,senna,seraphine,gnar,renekton,rell,gragas,udyr,tristana,tristana,kalista,orianna,viktor,gangplank,sion,camille,sett,azir,syndra
11,11.3,Red,udyr,twistedfate,olaf,karthus,seraphine,thresh,gnar,rell,renekton,alistar,alistar,tristana,nidalee,orianna,nocturne,lillia,taliyah,xinzhao,lulu,syndra
12,11.3,Blue,aphelios,rell,taliyah,syndra,udyr,olaf,seraphine,thresh,lillia,senna,senna,jinx,viktor,sylas,renekton,yone,gnar,gangplank,tahmkench,azir
13,11.3,Red,senna,gragas,thresh,lillia,udyr,olaf,seraphine,rell,skarner,graves,graves,gnar,gangplank,tristana,alistar,kalista,ezreal,ornn,rakan,sylas
14,11.3,Blue,gragas,seraphine,galio,udyr,olaf,rell,senna,renekton,thresh,skarner,skarner,aphelios,gnar,nidalee,aatrox,karthus,azir,syndra,volibear,kindred
15,11.3,Blue,olaf,sett,thresh,zoe,udyr,rell,renekton,seraphine,lillia,senna,senna,ezreal,jayce,gnar,camille,volibear,azir,galio,nautilus,gragas
16,11.3,Red,taliyah,udyr,hecarim,seraphine,camille,lillia,rell,gnar,thresh,kaisa,kaisa,aphelios,malphite,nidalee,orianna,karthus,graves,viktor,jayce,azir
17,11.3,Blue,nocturne,hecarim,galio,seraphine,sett,rell,udyr,thresh,lillia,tahmkench,tahmkench,aphelios,orianna,gnar,azir,renekton,zoe,syndra,camille,gragas
18,11.3,Red,thresh,twistedfate,udyr,olaf,seraphine,rell,renekton,lillia,leona,rakan,rakan,gnar,nidalee,ezreal,nocturne,tristana,kaisa,karthus,lucian,orianna
19,11.3,Blue,udyr,twistedfate,lillia,camille,seraphine,olaf,lucian,gnar,orianna,kaisa,kaisa,skarner,nidalee,thresh,taliyah,samira,alistar,karthus,sion,ezreal
20,11.3,Red,thresh,gragas,senna,lillia,rell,olaf,gnar,udyr,seraphine,alistar,alistar,ezreal,tristana,orianna,kaisa,zoe,camille,xayah,nocturne,zilean
21,11.3,Blue,gragas,gnar,graves,seraphine,rell,senna,udyr,azir,kaisa,orianna,orianna,olaf,xayah,sett,tristana,alistar,thresh,nautilus,ezreal,ornn
22,11.3,Red,twistedfate,gnar,azir,seraphine,graves,samira,rell,kaisa,udyr,kalista,kalista,alistar,zed,viktor,renekton,darius,gragas,sion,sett,orianna
23,11.3,Red,twistedfate,thresh,azir,seraphine,alistar,senna,rell,gragas,gnar,renekton,renekton,olaf,orianna,lucian,samira,tristana,ezreal,kaisa,syndra,akali
24,11.2,Blue,lillia,renekton,aphelios,sett,olaf,seraphine,udyr,kaisa,gragas,rell,rell,hecarim,gnar,alistar,sion,thresh,orianna,camille,galio,rakan
25,11.2,Blue,gragas,gnar,rell,thresh,olaf,renekton,seraphine,kaisa,udyr,senna,senna,syndra,orianna,camille,skarner,ornn,sion,maokai,kayn,rakan
26,11.2,Red,senna,twistedfate,kaisa,gragas,orianna,seraphine,renekton,udyr,gnar,rell,rell,kalista,lucian,thresh,yone,jarvaniv,alistar,missfortune,sett,syndra
27,11.2,Blue,twistedfate,sett,camille,blitzcrank,seraphine,renekton,udyr,kaisa,gragas,rell,rell,alistar,orianna,lucian,sylas,yasuo,olaf,zoe,gnar,rumble
28,11.2,Blue,olaf,seraphine,renekton,camille,gnar,hecarim,taliyah,aphelios,thresh,sett,sett,udyr,yone,gangplank,lucian,sylas,sion,aatrox,azir,orianna
29,11.2,Red,thresh,pantheon,twistedfate,gnar,darius,camille,seraphine,senna,renekton,sion,sion,graves,zed,syndra,rell,orianna,azir,aphelios,nautilus,sett
30,11.2,Blue,thresh,pantheon,twistedfate,gnar,taliyah,seraphine,olaf,renekton,graves,rell,rell,alistar,xayah,viktor,senna,kaisa,vayne,ezreal,syndra,karma
31,11.2,Red,thresh,olaf,taliyah,twistedfate,sett,seraphine,udyr,gnar,rell,kaisa,kaisa,hecarim,camille,samira,renekton,senna,kalista,akali,lucian,viktor
32,11.2,Blue,thresh,olaf,seraphine,udyr,gnar,taliyah,renekton,kaisa,lillia,rell,rell,sion,nidalee,lucian,elise,sett,nautilus,sylas,nocturne,syndra
33,11.2,Blue,pantheon,seraphine,taliyah,camille,udyr,renekton,olaf,graves,gnar,kaisa,kaisa,alistar,gangplank,tristana,none,xayah,vayne,akali,zoe,viktor
34,11.2,Blue,twistedfate,pantheon,thresh,camille,taliyah,gnar,seraphine,udyr,kaisa,xayah,xayah,orianna,karma,darius,rakan,renekton,rell,gragas,alistar,aatrox
35,11.2,Red,galio,twistedfate,gnar,olaf,pantheon,udyr,rell,taliyah,kaisa,graves,graves,sett,xayah,renekton,senna,sion,camille,jhin,orianna,syndra
36,11.2,Blue,taliyah,lillia,seraphine,olaf,udyr,jarvaniv,renekton,kaisa,nidalee,thresh,thresh,sett,orianna,gragas,zoe,jayce,blitzcrank,syndra,skarner,gnar
37,11.2,Blue,kaisa,twistedfate,olaf,lucian,udyr,renekton,seraphine,senna,gnar,gragas,gragas,orianna,yasuo,rell,azir,lillia,jarvaniv,nocturne,rumble,thresh
38,11.2,Blue,twistedfate,kaisa,camille,olaf,missfortune,udyr,lillia,seraphine,renekton,rell,rell,xayah,lucian,taliyah,yone,nidalee,xinzhao,orianna,ornn,rakan
39,11.2,Red,renekton,lillia,jayce,olaf,orianna,udyr,pantheon,kaisa,sett,rell,rell,taliyah,zoe,alistar,syndra,gnar,blitzcrank,gragas,akali,sion
40,11.1,Red,renekton,twistedfate,galio,seraphine,pantheon,olaf,kaisa,orianna,udyr,sett,sett,xayah,darius,thresh,camille,rakan,rell,aatrox,viktor,ivern
41,11.1,Blue,olaf,jayce,aphelios,camille,pantheon,renekton,kaisa,udyr,xayah,orianna,orianna,syndra,sett,gangplank,aatrox,rakan,gnar,sion,leona,thresh
42,11.1,Blue,gragas,taliyah,kalista,lillia,seraphine,nidalee,renekton,kaisa,olaf,alistar,alistar,orianna,samira,rakan,xayah,gnar,rell,tristana,azir,aatrox
43,11.1,Red,kalista,taliyah,aphelios,twistedfate,pantheon,graves,kaisa,xayah,olaf,thresh,thresh,orianna,camille,seraphine,renekton,blitzcrank,rakan,syndra,darius,gnar
44,11.1,Blue,lillia,taliyah,twistedfate,udyr,pantheon,gnar,olaf,aphelios,thresh,seraphine,seraphine,graves,orianna,viktor,camille,gangplank,aatrox,rell,akali,galio
45,11.1,Blue,twistedfate,kaisa,pantheon,lillia,renekton,seraphine,udyr,gragas,lucian,orianna,orianna,missfortune,aphelios,taliyah,ezreal,elise,galio,rell,xayah,camille
46,11.1,Red,taliyah,olaf,galio,kaisa,thresh,lillia,samira,gnar,vayne,renekton,renekton,hecarim,twistedfate,alistar,rell,leblanc,braum,seraphine,zoe,viktor
47,11.1,Red,twistedfate,draven,olaf,kaisa,renekton,pantheon,thresh,missfortune,galio,aphelios,aphelios,camille,yone,taliyah,lucian,udyr,viktor,gnar,zoe,reksai
48,11.1,Red,olaf,akali,aphelios,renekton,pantheon,rell,lillia,kaisa,taliyah,alistar,alistar,galio,camille,leona,aatrox,jayce,gragas,yone,gangplank,zed
49,11.1,Blue,kaisa,twistedfate,aphelios,missfortune,pantheon,jhin,lucian,olaf,samira,renekton,renekton,syndra,yone,gangplank,akali,ornn,volibear,ashe,leona,alistar
50,11.1,Red,lucian,kaisa,pantheon,samira,yone,olaf,thresh,missfortune,sett,aphelios,aphelios,twistedfate,zoe,hecarim,jayce,gnar,xinzhao,orianna,renekton,volibear
51,11.1,Red,lucian,twistedfate,pantheon,aphelios,rell,taliyah,olaf,kaisa,alistar,xayah,xayah,lillia,rakan,yone,thresh,kennen,renekton,orianna,gragas,viktor
52,11.1,Red,sett,galio,pantheon,rell,aphelios,olaf,renekton,nidalee,kaisa,samira,samira,gragas,alistar,gnar,thresh,yone,leona,maokai,lucian,jayce
53,11.1,Red,olaf,taliyah,aphelios,nidalee,pantheon,galio,graves,lillia,orianna,rell,rell,kaisa,camille,sett,aatrox,alistar,gnar,gangplank,leblanc,rakan
54,11.1,Blue,galio,thresh,aphelios,akali,pantheon,camille,taliyah,zoe,kaisa,twistedfate,twistedfate,olaf,xayah,gragas,samira,zac,aatrox,jhin,alistar,leona
55,11.1,Red,olaf,galio,camille,taliyah,pantheon,sett,nidalee,gnar,kaisa,xayah,xayah,lillia,rell,lucian,leona,zoe,alistar,renekton,thresh,orianna
