,patch,winside,BB1,RB1,BB2,RB2,BB3,RB3,BP1,RP1,RP2,BP2,BP3,RP3,RB4,BB4,RB5,BB5,RP4,BP4,BP5,RP5
0,11.4,Red,seraphine,udyr,renekton,jinx,hecarim,skarner,lillia,nidalee,tristana,sion,sion,alistar,kaisa,camille,none,gangplank,gnar,xayah,syndra,azir
1,11.4,Blue,thresh,senna,sion,udyr,irelia,gnar,rell,zoe,kaisa,seraphine,seraphine,alistar,camille,graves,renekton,hecarim,lillia,viktor,jayce,ornn
2,11.4,Red,azir,seraphine,viktor,senna,twistedfate,camille,rell,kaisa,udyr,sion,sion,syndra,tristana,alistar,xayah,gnar,nautilus,jhin,orianna,sett
3,11.4,Blue,senna,camille,olaf,irelia,udyr,seraphine,lillia,nidalee,viktor,orianna,orianna,tristana,aatrox,alistar,kaisa,gangplank,leona,xayah,gnar,renekton
4,11.4,Red,renekton,udyr,tristana,gnar,lillia,rell,senna,sion,nidalee,azir,azir,viktor,gangplank,kalista,hecarim,karma,jinx,olaf,camille,thresh
5,11.4,Blue,viktor,seraphine,azir,udyr,olaf,lillia,rell,senna,graves,renekton,renekton,zoe,tristana,gnar,lucian,maokai,gragas,jhin,sion,jayce
6,11.4,Blue,camille,senna,lillia,olaf,thresh,udyr,rell,renekton,taliyah,azir,azir,qiyana,hecarim,seraphine,graves,tristana,xayah,volibear,nidalee,nautilus
7,11.4,Blue,skarner,seraphine,viktor,senna,udyr,lillia,azir,kaisa,olaf,thresh,thresh,maokai,nidalee,zoe,graves,camille,corki,leesin,sion,chogath
8,11.4,Red,lillia,udyr,nidalee,skarner,renekton,hecarim,senna,azir,graves,camille,camille,jinx,sejuani,gnar,zoe,thresh,lulu,syndra,gragas,fiora
9,11.4,Red,irelia,seraphine,lillia,olaf,viktor,senna,udyr,camille,galio,gragas,gragas,taliyah,renekton,rell,sion,kaisa,tristana,alistar,ezreal,qiyana
