,patch,winside,BB1,RB1,BB2,RB2,BB3,RB3,BP1,RP1,RP2,BP2,BP3,RP3,RB4,BB4,RB5,BB5,RP4,BP4,BP5,RP5
0,11.3,Red,camille,gnar,twistedfate,nidalee,gragas,kaisa,udyr,rell,olaf,aphelios,aphelios,azir,zoe,kalista,syndra,tristana,samira,sion,viktor,jayce
1,11.3,Blue,gnar,camille,nidalee,twistedfate,aphelios,udyr,kaisa,rell,lillia,gragas,gragas,samira,olaf,jayce,kayn,quinn,viktor,renekton,alistar,sion
2,11.3,Blue,renekton,lillia,rell,udyr,kayn,nidalee,kaisa,olaf,tristana,graves,graves,zoe,sion,camille,gragas,alistar,gnar,leona,jayce,thresh
3,11.3,Blue,lillia,udyr,azir,kaisa,samira,renekton,rell,nidalee,zoe,galio,galio,alistar,camille,xayah,olaf,vayne,gnar,sion,kayn,ezreal
4,11.3,Blue,twistedfate,lillia,rell,udyr,renekton,zoe,kaisa,olaf,gragas,lucian,lucian,syndra,sett,xayah,gnar,samira,sivir,alistar,sion,aatrox
5,11.3,Red,alistar,zoe,gnar,lillia,nidalee,kaisa,udyr,seraphine,renekton,rell,rell,olaf,sion,tristana,gragas,thresh,rakan,volibear,azir,xayah
6,11.3,Red,olaf,zoe,alistar,lillia,nidalee,udyr,seraphine,graves,gnar,kayn,kayn,samira,gangplank,twistedfate,gragas,rell,leona,camille,shen,azir
7,11.3,Blue,seraphine,udyr,nidalee,olaf,lillia,gragas,kaisa,rell,renekton,alistar,alistar,samira,gnar,karthus,azir,gangplank,hecarim,sion,orianna,viktor
8,11.3,Blue,nidalee,udyr,seraphine,olaf,hecarim,gragas,kaisa,rell,lillia,alistar,alistar,samira,camille,renekton,sylas,kled,sion,azir,gnar,jayce
9,11.3,Blue,renekton,kaisa,twistedfate,udyr,olaf,samira,gragas,thresh,aphelios,lucian,lucian,lillia,rell,sion,alistar,irelia,sett,nautilus,skarner,gnar
10,11.3,Red,samira,udyr,rell,twistedfate,aphelios,renekton,kaisa,gragas,olaf,hecarim,hecarim,tristana,sion,zoe,gnar,alistar,sylas,camille,thresh,jax
11,11.3,Blue,nidalee,olaf,lillia,kaisa,zoe,renekton,udyr,graves,azir,viktor,viktor,tristana,samira,alistar,thresh,rell,leona,lucian,seraphine,gangplank
12,11.3,Blue,olaf,nidalee,zoe,kaisa,gragas,gnar,renekton,udyr,azir,lucian,lucian,sion,samira,thresh,xayah,tristana,rell,ezreal,alistar,jinx
13,11.3,Blue,nidalee,thresh,zoe,camille,lillia,renekton,kaisa,alistar,udyr,olaf,olaf,samira,orianna,gnar,syndra,twistedfate,azir,viktor,sion,aatrox
14,11.3,Red,nidalee,gragas,gnar,kaisa,aphelios,udyr,lillia,samira,rell,alistar,alistar,olaf,zoe,aatrox,orianna,quinn,azir,renekton,viktor,ornn
15,11.3,Red,nidalee,gragas,gnar,kaisa,aphelios,udyr,samira,rell,lillia,hecarim,hecarim,xayah,orianna,lucian,zoe,vayne,azir,sion,syndra,aatrox
16,11.3,Blue,samira,zoe,nidalee,twistedfate,kaisa,renekton,azir,rell,udyr,drmundo,drmundo,syndra,ezreal,tristana,varus,xayah,gnar,gangplank,jhin,lucian
17,11.3,Blue,zoe,samira,twistedfate,kaisa,azir,nidalee,renekton,gnar,udyr,camille,camille,syndra,tristana,ezreal,thresh,varus,rell,galio,xayah,vayne
18,11.3,Red,zoe,samira,twistedfate,kaisa,azir,jayce,renekton,gragas,rell,alistar,alistar,graves,tristana,senna,cassiopeia,varus,ezreal,sivir,syndra,orianna
19,11.3,Blue,zoe,kaisa,nidalee,renekton,lillia,olaf,udyr,alistar,graves,tristana,tristana,samira,orianna,twistedfate,gnar,galio,sion,azir,camille,syndra
20,11.3,Red,olaf,zoe,orianna,nidalee,renekton,kaisa,samira,udyr,alistar,drmundo,drmundo,tristana,rell,gnar,syndra,azir,twistedfate,seraphine,nautilus,camille
21,11.3,Blue,rell,seraphine,olaf,udyr,twistedfate,lillia,zoe,kaisa,gnar,renekton,renekton,galio,samira,sett,aphelios,graves,taliyah,xayah,alistar,leona
22,11.3,Red,seraphine,udyr,renekton,olaf,zoe,gnar,rell,kaisa,lillia,samira,samira,gragas,twistedfate,alistar,galio,yone,sion,aatrox,ryze,tristana
23,11.3,Red,samira,seraphine,aphelios,thresh,rell,renekton,kaisa,udyr,xayah,twistedfate,twistedfate,azir,gnar,rakan,camille,gangplank,alistar,morgana,gragas,aatrox
24,11.3,Blue,seraphine,rell,thresh,samira,twistedfate,zoe,kaisa,udyr,senna,azir,azir,tahmkench,olaf,orianna,lillia,ryze,corki,drmundo,renekton,gnar
25,11.3,Red,zoe,renekton,syndra,kaisa,azir,udyr,samira,alistar,lillia,olaf,olaf,tristana,zilean,lucian,viktor,orianna,jayce,cassiopeia,sion,gnar
26,11.3,Blue,renekton,zoe,camille,syndra,thresh,samira,kaisa,udyr,lucian,rell,rell,gragas,jayce,gnar,aatrox,alistar,volibear,sion,azir,corki
27,11.3,Blue,zoe,renekton,syndra,kaisa,samira,camille,udyr,azir,olaf,gragas,gragas,aatrox,jayce,thresh,xayah,rell,tristana,gnar,lucian,alistar
28,11.3,Red,renekton,udyr,thresh,olaf,syndra,gnar,kaisa,gragas,rell,aatrox,aatrox,samira,azir,jayce,taliyah,lucian,twistedfate,nidalee,orianna,camille
29,11.3,Blue,olaf,renekton,camille,kaisa,samira,syndra,udyr,rell,kayn,thresh,thresh,ezreal,gangplank,azir,gnar,gragas,zoe,twistedfate,jayce,wukong
30,11.3,Blue,jayce,kaisa,camille,udyr,seraphine,gragas,samira,renekton,rell,lillia,lillia,nidalee,gnar,vayne,gangplank,ezreal,senna,azir,aatrox,yone
31,11.3,Red,gragas,jayce,thresh,camille,renekton,seraphine,kaisa,udyr,rell,gnar,gnar,gangplank,lillia,samira,drmundo,tristana,xayah,graves,azir,orianna
32,11.3,Blue,renekton,kaisa,rell,udyr,seraphine,graves,olaf,lillia,samira,alistar,alistar,leona,irelia,kled,camille,sett,ryze,jayce,azir,lucian
33,11.3,Red,graves,renekton,camille,seraphine,azir,twistedfate,kaisa,rell,udyr,alistar,alistar,samira,gragas,orianna,jayce,zoe,cassiopeia,gnar,rumble,irelia
34,11.3,Red,lillia,camille,zoe,samira,renekton,kaisa,olaf,rell,gragas,thresh,thresh,varus,jayce,udyr,gnar,kindred,graves,gangplank,twistedfate,azir
35,11.3,Red,lillia,camille,zoe,samira,rell,kaisa,twistedfate,udyr,renekton,gragas,gragas,azir,tristana,seraphine,thresh,missfortune,jhin,ezreal,leona,alistar
36,11.2,Blue,zoe,renekton,twistedfate,pantheon,rell,olaf,kaisa,thresh,lillia,gragas,gragas,aphelios,graves,azir,kindred,syndra,lucian,gnar,udyr,gangplank
37,11.2,Blue,zoe,renekton,twistedfate,pantheon,syndra,gragas,kaisa,nidalee,rell,orianna,orianna,azir,alistar,samira,sett,jayce,gnar,leona,sylas,xayah
38,11.2,Blue,renekton,zoe,kaisa,twistedfate,olaf,pantheon,nidalee,lillia,samira,xayah,xayah,alistar,camille,viktor,azir,orianna,gnar,syndra,jayce,rumble
39,11.2,Blue,thresh,zoe,xayah,pantheon,twistedfate,olaf,kaisa,renekton,udyr,seraphine,seraphine,galio,ornn,samira,gragas,tristana,jhin,rell,gnar,alistar
40,11.2,Blue,thresh,zoe,xayah,seraphine,rell,pantheon,kaisa,olaf,alistar,renekton,renekton,gnar,sett,twistedfate,leona,galio,tristana,orianna,bard,azir
41,11.2,Red,thresh,zoe,udyr,seraphine,xayah,pantheon,renekton,olaf,kaisa,rell,rell,alistar,lillia,gragas,nidalee,galio,gnar,azir,graves,twistedfate
42,11.2,Blue,gnar,olaf,renekton,pantheon,aphelios,kaisa,udyr,alistar,samira,gragas,gragas,ornn,vayne,orianna,xayah,lillia,hecarim,tristana,aatrox,leblanc
43,11.2,Red,syndra,renekton,zoe,gnar,pantheon,kaisa,olaf,aphelios,thresh,camille,camille,udyr,seraphine,twistedfate,samira,aatrox,gragas,kalista,jarvaniv,lucian
44,11.2,Red,renekton,zoe,twistedfate,gragas,olaf,samira,pantheon,kaisa,taliyah,syndra,syndra,rell,alistar,sett,seraphine,gnar,kled,camille,tahmkench,kennen
45,11.2,Blue,zoe,olaf,samira,renekton,gragas,twistedfate,pantheon,kaisa,udyr,rell,rell,orianna,ryze,alistar,camille,seraphine,leona,gnar,rumble,gangplank
46,11.2,Red,twistedfate,samira,udyr,kaisa,zoe,alistar,pantheon,azir,olaf,orianna,orianna,rell,camille,varus,tristana,senna,jhin,renekton,vayne,gragas
47,11.2,Blue,samira,twistedfate,thresh,kaisa,alistar,zoe,udyr,orianna,senna,azir,azir,olaf,aatrox,camille,seraphine,leona,gragas,renekton,rell,gnar
48,11.2,Red,renekton,twistedfate,olaf,pantheon,aphelios,camille,kaisa,rell,udyr,zoe,zoe,samira,alistar,azir,gnar,orianna,galio,gragas,leona,aatrox
49,11.2,Blue,twistedfate,kaisa,pantheon,renekton,samira,zoe,olaf,trundle,leona,thresh,thresh,missfortune,orianna,syndra,aatrox,ekko,azir,ryze,gnar,gangplank
50,11.2,Blue,zoe,twistedfate,renekton,olaf,pantheon,kaisa,samira,taliyah,alistar,rell,rell,galio,orianna,vayne,azir,xayah,tristana,sylas,gnar,camille
51,11.2,Blue,camille,pantheon,gangplank,gnar,aphelios,renekton,kaisa,xayah,udyr,gragas,gragas,aatrox,jayce,rakan,zoe,orianna,rell,alistar,syndra,azir
52,11.2,Blue,camille,pantheon,gangplank,gnar,aphelios,renekton,kaisa,xayah,udyr,gragas,gragas,aatrox,jayce,rakan,leona,azir,rell,alistar,orianna,viktor
53,11.2,Red,twistedfate,nidalee,pantheon,renekton,galio,seraphine,udyr,aphelios,thresh,alistar,alistar,olaf,zilean,gnar,azir,syndra,zoe,orianna,camille,gragas
