,patch,winside,BB1,RB1,BB2,RB2,BB3,RB3,BP1,RP1,RP2,BP2,BP3,RP3,RB4,BB4,RB5,BB5,RP4,BP4,BP5,RP5
0,,Blue,camille,aphelios,olaf,kaisa,samira,rell,udyr,skarner,seraphine,thresh,thresh,lucian,sion,aatrox,gragas,renekton,azir,syndra,ornn,irelia
1,,Red,thresh,irelia,seraphine,twistedfate,rell,karma,senna,udyr,kalista,hecarim,hecarim,azir,orianna,leona,syndra,nautilus,blitzcrank,corki,gnar,sylas
2,,Blue,zoe,udyr,thresh,camille,seraphine,lillia,rell,gragas,olaf,kaisa,kaisa,ezreal,aatrox,azir,gnar,volibear,twistedfate,ryze,renekton,sion
3,,Blue,taliyah,olaf,lillia,seraphine,thresh,azir,rell,udyr,kaisa,nidalee,nidalee,gragas,volibear,zoe,lucian,aatrox,renekton,gnar,twistedfate,orianna
4,,Blue,anivia,galio,viktor,yone,azir,skarner,seraphine,olaf,tristana,rell,rell,sion,aatrox,alistar,orianna,thresh,lulu,gangplank,kaisa,ryze
5,,Blue,seraphine,lucian,rell,twistedfate,thresh,yone,udyr,senna,tahmkench,karma,karma,lillia,volibear,camille,gnar,renekton,azir,aatrox,orianna,sion
6,,Blue,gangplank,seraphine,galio,udyr,thresh,olaf,lillia,senna,tahmkench,rell,rell,reksai,renekton,gnar,azir,gragas,aatrox,wukong,yone,ryze
7,,Blue,kaisa,camille,olaf,udyr,rell,thresh,karma,seraphine,graves,skarner,skarner,nautilus,sylas,orianna,morgana,syndra,gragas,aatrox,zoe,lucian
8,,Red,zoe,lillia,azir,camille,velkoz,udyr,rell,gragas,olaf,kaisa,kaisa,volibear,jayce,twistedfate,aatrox,kalista,ezreal,hecarim,renekton,sylas
9,,Blue,anivia,skarner,viktor,lillia,azir,taliyah,udyr,trundle,rell,alistar,alistar,xayah,renekton,sion,gangplank,gnar,aatrox,orianna,camille,syndra
10,11.4,Red,lillia,seraphine,olaf,udyr,yone,galio,skarner,aphelios,thresh,rell,rell,hecarim,gangplank,irelia,orianna,fiora,gnar,kennen,lucian,syndra
11,11.4,Blue,zoe,lillia,gragas,rell,twistedfate,udyr,kaisa,seraphine,graves,hecarim,hecarim,alistar,azir,malphite,orianna,volibear,ornn,wukong,sylas,ryze
12,11.4,Red,camille,anivia,aphelios,kaisa,skarner,galio,rell,missfortune,thresh,sivir,sivir,lillia,gangplank,yone,viktor,irelia,gnar,azir,aatrox,lucian
