,patch,winside,BB1,RB1,BB2,RB2,BB3,RB3,BP1,RP1,RP2,BP2,BP3,RP3,RB4,BB4,RB5,BB5,RP4,BP4,BP5,RP5
0,11.4,Red,sett,seraphine,lucian,camille,rell,tristana,udyr,thresh,xayah,galio,galio,renekton,gnar,lillia,azir,gragas,orianna,viktor,sion,drmundo
1,11.4,Blue,seraphine,sett,tristana,rell,camille,lucian,udyr,drmundo,kaisa,thresh,thresh,orianna,malphite,galio,aatrox,nautilus,rakan,gnar,ryze,sion
2,11.4,Blue,sett,seraphine,thresh,rell,lucian,udyr,camille,kaisa,lillia,galio,galio,renekton,azir,nautilus,hecarim,leona,alistar,gragas,orianna,zoe
3,11.4,Red,udyr,syndra,olaf,lucian,hecarim,tristana,rell,kaisa,lillia,xayah,xayah,seraphine,renekton,thresh,gnar,gragas,galio,camille,orianna,aatrox
4,11.4,Red,syndra,udyr,olaf,rell,thresh,lillia,seraphine,galio,hecarim,shen,shen,tristana,kindred,alistar,kayn,gnar,lucian,irelia,gragas,gangplank
5,11.4,Red,galio,syndra,udyr,lillia,hecarim,kaisa,rell,seraphine,olaf,nocturne,nocturne,gragas,gnar,xayah,aatrox,missfortune,aphelios,gangplank,azir,thresh
6,11.4,Red,nocturne,rell,lucian,udyr,jax,lillia,camille,seraphine,gnar,nidalee,nidalee,kaisa,galio,sett,orianna,olaf,hecarim,rakan,azir,thresh
7,11.4,Blue,seraphine,nocturne,udyr,lucian,lillia,camille,rell,thresh,aphelios,nidalee,nidalee,drmundo,twistedfate,gnar,jayce,azir,renekton,jax,syndra,orianna
8,11.4,Blue,nocturne,seraphine,thresh,rell,lucian,udyr,camille,xayah,galio,lillia,lillia,renekton,sett,twistedfate,braum,nidalee,syndra,nautilus,orianna,olaf
9,11.4,Blue,seraphine,renekton,udyr,sett,lillia,olaf,rell,thresh,gragas,camille,camille,gnar,karthus,xayah,galio,yasuo,jinx,hecarim,twistedfate,yone
10,11.4,Red,renekton,seraphine,sett,rell,gragas,kaisa,tristana,udyr,thresh,alistar,alistar,xayah,akali,camille,vladimir,zoe,gnar,irelia,gangplank,malphite
11,11.4,Red,camille,lillia,lucian,thresh,rell,udyr,seraphine,kaisa,sett,renekton,renekton,gnar,zoe,azir,twistedfate,gragas,hecarim,graves,syndra,viktor
12,11.4,Blue,zoe,camille,lillia,lucian,thresh,rell,udyr,kaisa,seraphine,renekton,renekton,gragas,tristana,syndra,galio,leona,graves,xayah,sett,twistedfate
13,11.4,Blue,camille,zoe,lucian,lillia,rell,udyr,thresh,kaisa,gragas,xayah,xayah,jayce,sion,sett,azir,syndra,karthus,renekton,twistedfate,nocturne
14,11.4,Red,seraphine,lillia,udyr,graves,rell,renekton,thresh,kaisa,gragas,gnar,gnar,vayne,syndra,yone,olaf,hecarim,pyke,taliyah,irelia,galio
15,11.4,Blue,olaf,udyr,renekton,seraphine,kalista,rell,lillia,aphelios,thresh,braum,braum,nidalee,malphite,syndra,irelia,galio,jayce,camille,yone,gnar
16,11.3,Blue,lillia,udyr,zoe,tristana,graves,rell,kaisa,gragas,samira,camille,camille,renekton,olaf,taliyah,syndra,nidalee,viktor,azir,skarner,karthus
17,11.3,Red,udyr,lillia,tristana,zoe,gnar,none,rell,kaisa,gragas,samira,samira,jayce,syndra,nidalee,twistedfate,skarner,alistar,sion,azir,camille
18,11.3,Red,zoe,rell,kaisa,udyr,graves,tristana,samira,lillia,sett,gnar,gnar,senna,hecarim,jayce,syndra,irelia,gangplank,lucian,nidalee,viktor
